DateTime,latitude,longitude,measuring,raw measuring,Hour,value,UPPER LIMIT,LOWER LIMIT,Diff,Max Diff,Min Diff,QTLE01,QTLE99,DIFF_QTLE01,DIFF_QTLE99,Count,Std,Tag
2023-02-06 14:30:00,-28.456899,-48.972999,41.2975,41.06,14,0.08107525199999999,20000.0,15.0,0.08750000000000036,3000.0,-3000.0,21.345,46.3525,-2.3400000000000034,2.650000000000002,4,0.2381001189975919,VALID
2023-02-06 15:30:00,-28.456899,-48.972999,39.7875,39.095,15,0.07811082,20000.0,15.0,-0.5075000000000003,3000.0,-3000.0,21.347500000000004,44.97,-2.3400000000000034,2.650000000000002,4,0.5190455985107059,VALID
2023-02-06 16:30:00,-28.456899,-48.972999,36.03375,34.3975,16,0.07074145800000001,20000.0,15.0,-1.3312500000000007,3000.0,-3000.0,20.9,43.5,-2.3400000000000034,2.650000000000002,4,1.9196543742733152,VALID
2023-02-06 17:30:00,-28.456899,-48.972999,35.2475,35.7125,17,0.069197892,20000.0,15.0,0.46000000000000085,3000.0,-3000.0,20.3875,41.095,-2.3400000000000034,2.650000000000002,4,0.9022333401066496,VALID
2023-02-06 18:30:00,-28.456899,-48.972999,33.62375,31.79,18,0.06601014599999999,20000.0,15.0,-1.1499999999999995,3000.0,-3000.0,19.895,38.5375,-2.3400000000000034,2.650000000000002,4,1.7335722992326197,VALID
2023-02-06 19:30:00,-28.456899,-48.972999,28.00375,26.76,19,0.054976962000000004,20000.0,15.0,-1.1725000000000003,3000.0,-3000.0,18.880000000000003,32.855000000000004,-2.3400000000000034,2.650000000000002,4,1.25234696337184,VALID
2023-02-06 20:30:00,-28.456899,-48.972999,25.66,25.28,20,0.050375711999999996,20000.0,15.0,-0.34999999999999964,3000.0,-3000.0,17.674999999999997,29.15,-2.3400000000000034,2.650000000000002,4,0.37828560638755326,VALID
2023-02-06 21:30:00,-28.456899,-48.972999,25.085,24.93,21,0.049246872,20000.0,15.0,-0.07125000000000092,3000.0,-3000.0,16.560000000000002,28.0325,-2.3400000000000034,2.650000000000002,4,0.07222649560006913,VALID
2023-02-06 22:30:00,-28.456899,-48.972999,24.395,24.0875,22,0.047892264,20000.0,15.0,-0.23499999999999943,3000.0,-3000.0,16.275,27.8875,-2.3400000000000034,2.650000000000002,4,0.2830488768157662,VALID
2023-02-06 23:30:00,-28.456899,-48.972999,23.5575,23.27,23,0.046248083999999995,20000.0,15.0,-0.20500000000000007,3000.0,-3000.0,16.17,27.8175,-2.3400000000000034,2.650000000000002,4,0.27959792560031604,VALID
2023-02-07 00:30:00,-28.456899,-48.972999,22.79125,22.5,0,0.044743782,20000.0,15.0,-0.19374999999999964,3000.0,-3000.0,16.7225,27.762500000000003,-2.3400000000000034,2.650000000000002,4,0.27965380383609756,VALID
2023-02-07 01:30:00,-28.456899,-48.972999,22.1425,21.975,1,0.043470155999999996,20000.0,15.0,-0.13124999999999964,3000.0,-3000.0,16.3375,27.77,-2.3400000000000034,2.650000000000002,4,0.16680827317612176,VALID
2023-02-07 02:30:00,-28.456899,-48.972999,21.765,21.62,2,0.042729048,20000.0,15.0,-0.07250000000000068,3000.0,-3000.0,16.1975,27.7875,-2.3400000000000034,2.650000000000002,4,0.09327379053089013,VALID
2023-02-07 03:30:00,-28.456899,-48.972999,21.28,21.09,3,0.041776895999999994,20000.0,15.0,-0.1462500000000002,3000.0,-3000.0,15.870000000000001,27.8125,-2.3400000000000034,2.650000000000002,4,0.18907670401189244,VALID
2023-02-07 04:30:00,-28.456899,-48.972999,20.91125,20.795,4,0.041052965999999996,20000.0,15.0,-0.0674999999999999,3000.0,-3000.0,16.645,27.814999999999998,-2.3400000000000034,2.650000000000002,4,0.08076457556792187,VALID
2023-02-07 05:30:00,-28.456899,-48.972999,20.51375,20.365000000000002,5,0.040272593999999995,20000.0,15.0,-0.11624999999999996,3000.0,-3000.0,16.64,27.807499999999997,-2.3400000000000034,2.650000000000002,4,0.1491294180681129,VALID
2023-02-07 06:30:00,-28.456899,-48.972999,20.3475,20.8925,6,0.039946211999999995,20000.0,15.0,0.04999999999999982,3000.0,-3000.0,16.275,27.8,-2.3400000000000034,2.650000000000002,4,0.12887332281482328,VALID
2023-02-07 07:30:00,-28.456899,-48.972999,25.935,29.72,7,0.050915591999999996,20000.0,15.0,1.4224999999999994,3000.0,-3000.0,16.275,32.05499999999999,-2.3400000000000034,2.650000000000002,2,6.272037149124675,LOWSAMPLES
2023-02-07 08:30:00,-28.456899,-48.972999,32.92125,33.58,8,0.064630998,20000.0,15.0,0.8137500000000006,3000.0,-3000.0,17.2825,38.3625,-2.3400000000000034,2.650000000000002,4,0.9541783114282142,VALID
2023-02-07 09:30:00,-28.456899,-48.972999,34.615,36.74,9,0.06795616800000001,20000.0,15.0,0.8425000000000011,3000.0,-3000.0,19.77,40.045,-2.3400000000000034,2.650000000000002,4,1.6478521373796484,VALID
