DateTime,latitude,longitude,measuring,raw measuring,Hour,UPPER LIMIT,LOWER LIMIT,Diff,Max Diff,Min Diff,QTLE01,QTLE99,DIFF_QTLE01,DIFF_QTLE99,Count,Std,% valid,Tag
2022-11-24 15:30:00,,,,,15,,,,,,,,,,0,,0.0,LOWSAMPLES
2022-11-24 16:30:00,,,,,16,,,,,,,,,,0,,0.0,LOWSAMPLES
2022-11-24 17:30:00,,,,,17,,,,,,,,,,0,,0.0,LOWSAMPLES
2022-11-24 18:30:00,,,,,18,,,,,,,,,,0,,0.0,LOWSAMPLES
2022-11-24 19:30:00,,,,,19,,,,,,,,,,0,,0.0,LOWSAMPLES
2022-11-24 20:30:00,,,,,20,,,,,,,,,,0,,0.0,LOWSAMPLES
2022-11-24 21:30:00,,,,,21,,,,,,,,,,0,,0.0,LOWSAMPLES
2022-11-24 22:30:00,,,,,22,,,,,,,,,,0,,0.0,LOWSAMPLES
2022-11-24 23:30:00,,,,,23,,,,,,,,,,0,,0.0,LOWSAMPLES
2022-11-25 00:30:00,,,,,0,,,,,,,,,,0,,0.0,LOWSAMPLES
2022-11-25 01:30:00,,,,,1,,,,,,,,,,0,,0.0,LOWSAMPLES
2022-11-25 02:30:00,,,,,2,,,,,,,,,,0,,0.0,LOWSAMPLES
2022-11-25 03:30:00,,,,,3,,,,,,,,,,0,,0.0,LOWSAMPLES
2022-11-25 04:30:00,,,,,4,,,,,,,,,,0,,0.0,LOWSAMPLES
2022-11-25 05:30:00,,,,,5,,,,,,,,,,0,,0.0,LOWSAMPLES
2022-11-25 06:30:00,,,,,6,,,,,,,,,,0,,0.0,LOWSAMPLES
2022-11-25 07:30:00,,,,,7,,,,,,,,,,0,,0.0,LOWSAMPLES
2022-11-25 08:30:00,,,,,8,,,,,,,,,,0,,0.0,LOWSAMPLES
2022-11-25 09:30:00,,,,,9,,,,,,,,,,0,,0.0,LOWSAMPLES
2022-11-25 10:30:00,,,,,10,,,,,,,,,,0,,0.0,LOWSAMPLES
2022-11-25 11:30:00,,,,,11,,,,,,,,,,0,,0.0,LOWSAMPLES
