DateTime,latitude,longitude,measuring,raw measuring,Diff,UPPER LIMIT,LOWER LIMIT,Hour,GLOBAL_QTLE01,GLOBAL_QTLE99,DIFF_QTLE01,DIFF_QTLE99,Count,Std,% valid,Tag
2022-12-12 23:30:00,-28.456899,-48.972999,23.4175,22.947499999999998,-0.25875000000000004,85.0,-40.0,23,20.87,31.119999999999997,-0.29499999999999815,0.10500000000000043,4,0.3486760674322234,100.0,VALID
2022-12-13 00:30:00,-28.456899000000003,-48.972998999999994,22.213333333333335,22.14,-0.1516666666666661,85.0,-40.0,0,20.97,31.08,-0.36499999999999844,0.11500000000000199,3,0.06714412359494439,75.0,VALID
2022-12-13 01:30:00,-28.456899,-48.972999,22.2525,22.325,0.038750000000000284,85.0,-40.0,1,20.28,30.82,-0.34499999999999886,0.09999999999999787,4,0.06689544080129843,100.0,VALID
2022-12-13 02:30:00,-28.456899000000003,-48.972998999999994,22.468333333333334,22.656666666666666,0.086666666666666,85.0,-40.0,2,19.86,30.855,-0.41999999999999815,0.12000000000000455,3,0.10774197572595803,75.0,VALID
2022-12-13 03:30:00,-28.456899,-48.972999,22.8975,23.174999999999997,0.11500000000000021,85.0,-40.0,3,19.745,30.9,-0.3450000000000024,0.125,2,0.07424621202458653,50.0,LOWSAMPLES
2022-12-13 04:30:00,-28.456899,-48.972999,23.515,23.5875,0.055000000000000604,85.0,-40.0,4,19.605,30.945,-0.3150000000000013,0.13000000000000256,4,0.05700877125495996,100.0,VALID
2022-12-13 05:30:00,-28.456899,-48.972999,23.655,23.595,0.008750000000000036,85.0,-40.0,5,19.53,30.985,-0.3200000000000003,0.18499999999999872,4,0.02999999999999969,100.0,VALID
2022-12-13 06:30:00,-28.456899,-48.972999,23.825000000000003,24.645,0.23999999999999932,85.0,-40.0,6,19.545,30.994999999999997,-0.22500000000000142,1.019999999999996,4,0.5125264220831277,100.0,VALID
2022-12-13 07:30:00,,,,,,,,7,,,,,0,,0.0,LOWSAMPLES
2022-12-13 08:30:00,-28.456899,-48.972999,29.40125,29.845,0.3966666666666659,85.0,-40.0,8,21.18,35.485,-0.03999999999999915,1.6299999999999955,4,0.5250773752505434,100.0,VALID
2022-12-13 09:30:00,-28.456899,-48.972999,30.3525,30.835,0.23000000000000043,85.0,-40.0,9,23.485,38.010000000000005,-0.3150000000000013,1.730000000000004,4,0.3653651141894447,100.0,VALID
2022-12-13 10:30:00,-28.456899,-48.972999,31.4625,31.605,0.19625000000000004,85.0,-40.0,10,24.185000000000002,40.215,-0.7600000000000051,1.3500000000000085,4,0.17022044530549357,100.0,VALID
2022-12-13 11:30:00,-28.456899,-48.972999,31.6525,31.677500000000002,0.011249999999999538,85.0,-40.0,11,24.47,42.375,-0.9149999999999991,1.1149999999999949,4,0.00500000000000167,100.0,VALID
2022-12-13 12:30:00,-28.456899,-48.972999,31.5875,31.490000000000002,-0.05874999999999986,85.0,-40.0,12,23.925,44.175,-0.6700000000000017,1.009999999999998,4,0.12665570127975542,100.0,VALID
2022-12-13 13:30:00,-28.456899,-48.972999,31.345,30.9525,-0.10250000000000004,85.0,-40.0,13,24.240000000000002,44.75,-1.1749999999999972,0.894999999999996,4,0.22872836874044883,100.0,VALID
2022-12-13 14:30:00,-28.456899,-48.972999,30.21,30.3525,-0.1662499999999998,85.0,-40.0,14,24.07,44.74,-1.2850000000000037,0.9349999999999987,4,0.15011106998930396,100.0,VALID
2022-12-13 15:30:00,-28.456899,-48.972999,31.37875,31.5975,0.33250000000000046,85.0,-40.0,15,23.65,43.985,-1.7450000000000045,0.7349999999999994,4,0.27756005356198826,100.0,VALID
2022-12-13 16:30:00,-28.456899,-48.972999,31.37125,31.015,-0.19625000000000092,85.0,-40.0,16,23.6,42.66,-1.5549999999999926,0.41499999999999915,4,0.4092752741126704,100.0,VALID
2022-12-13 17:30:00,-28.456899,-48.972999,30.39625,30.075,-0.20249999999999968,85.0,-40.0,17,23.105,40.58,-1.4699999999999989,0.3949999999999996,4,0.23976985493037653,100.0,VALID
