,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring CO,measuring O3 2,measuring PM10,temperature,","{'Mean': -10.110725350148174, 'Std': 2.0505588674133417}","{'Mean': -7.719346542983445, 'Std': 1.5829517864481155}","{'Mean': -9.071854544107596, 'Std': 2.045031303598026}","{'Mean': -9.0354772775121, 'Std': 1.6284727651434971}"
"measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': -8.368166924748982, 'Std': 0.8628989108762392}","{'Mean': -7.481281867508431, 'Std': 1.3212831545784054}","{'Mean': -8.012795894038957, 'Std': 1.1068582629062975}","{'Mean': -8.51425796734297, 'Std': 0.9716062953716503}"
"measuring NO2,measuring O3 1,measuring PM10,temperature,","{'Mean': -9.098341458209028, 'Std': 1.3273766197170596}","{'Mean': -7.492271612313314, 'Std': 1.3580506549076772}","{'Mean': -8.076388668675017, 'Std': 1.0222367938267591}","{'Mean': -8.273602664803347, 'Std': 0.795901484337522}"
"measuring NO2,measuring O3 2,measuring PM10,temperature,","{'Mean': -9.659468131068666, 'Std': 1.3397463543278747}","{'Mean': -7.544977713888437, 'Std': 1.1515088676823433}","{'Mean': -8.330800096583213, 'Std': 0.8559294297717484}","{'Mean': -8.868370299770065, 'Std': 0.9825904866965212}"
"measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': -10.097624248550014, 'Std': 1.9378018049000056}","{'Mean': -7.393041769231452, 'Std': 1.1202764766727815}","{'Mean': -8.240177066633782, 'Std': 0.7855022979471207}","{'Mean': -9.033279605293856, 'Std': 0.9294256321219022}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': -11.63103930458063, 'Std': 5.3749987870395755}","{'Mean': -7.597314910147772, 'Std': 1.7097008977539896}","{'Mean': -8.97048162919417, 'Std': 2.4167904677056615}","{'Mean': -9.102353711517674, 'Std': 2.2841234630242973}"
"measuring CO,measuring NO2,measuring O3 1,measuring PM10,temperature,","{'Mean': -11.606765331732335, 'Std': 5.375050231713742}","{'Mean': -7.702973646361336, 'Std': 1.7320072142348222}","{'Mean': -8.996710795267953, 'Std': 2.424527291992242}","{'Mean': -8.75409616203079, 'Std': 2.2202418438857485}"
"measuring CO,measuring NO2,measuring O3 2,measuring PM10,temperature,","{'Mean': -10.389585299812852, 'Std': 2.1355405352672956}","{'Mean': -7.875404141548187, 'Std': 1.7712251606178793}","{'Mean': -8.901605731794412, 'Std': 1.4587483710005094}","{'Mean': -9.285349681707345, 'Std': 1.9840341951664744}"
"measuring CO,measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': -13.105070976644575, 'Std': 5.498268337603555}","{'Mean': -7.552787089674017, 'Std': 1.4413358219595964}","{'Mean': -9.432839399265594, 'Std': 2.75390891953803}","{'Mean': -9.27990422745002, 'Std': 1.893460390685278}"
"measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': -10.671337052955721, 'Std': 2.0263170474952754}","{'Mean': -7.545004680143851, 'Std': 1.2977283576609095}","{'Mean': -8.108647554060058, 'Std': 0.9830637502721513}","{'Mean': -8.895207802999717, 'Std': 1.0437918336396252}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': -14.201165550851416, 'Std': 7.123041737499693}","{'Mean': -7.725362699386086, 'Std': 1.6521155722768817}","{'Mean': -8.89982696083325, 'Std': 2.090279394296539}","{'Mean': -9.401192021352015, 'Std': 2.2043215661060414}"
