,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring CO,measuring SO2 1,measuring PM10,","{'Mean': -18.05676245337749, 'Std': 8.398264870341055}","{'Mean': -18.103070290742092, 'Std': 8.40882939332451}","{'Mean': -20.870588860879135, 'Std': 7.067792058186919}","{'Mean': -17.176026953687696, 'Std': 7.992308942095843}"
"measuring CO,measuring SO2 1,temperature,","{'Mean': -18.219411318389383, 'Std': 7.613156856146417}","{'Mean': -17.747698557942343, 'Std': 7.731092287878257}","{'Mean': -21.97080959883098, 'Std': 7.016049978484186}","{'Mean': -18.735766549780685, 'Std': 7.019203467203004}"
"measuring CO,measuring SO2 2,measuring PM10,","{'Mean': -17.770988864003513, 'Std': 8.431454093009979}","{'Mean': -18.10473320046539, 'Std': 8.216388265909211}","{'Mean': -20.97435771470868, 'Std': 5.658261632727105}","{'Mean': -17.36669905998853, 'Std': 7.465499097869086}"
"measuring CO,measuring SO2 2,temperature,","{'Mean': -17.868906793911762, 'Std': 7.382360064316221}","{'Mean': -17.928672292800254, 'Std': 7.674830975059828}","{'Mean': -21.332609512058593, 'Std': 5.98199875282122}","{'Mean': -18.823017315420408, 'Std': 6.79920587088872}"
"measuring NO2,measuring O3 1,measuring SO2 1,","{'Mean': -19.429169711603116, 'Std': 8.812614477025534}","{'Mean': -18.083851208485925, 'Std': 8.290599626975602}","{'Mean': -19.99865090296969, 'Std': 7.570128212392354}","{'Mean': -17.945598396419005, 'Std': 8.416137877230314}"
"measuring NO2,measuring O3 1,measuring SO2 2,","{'Mean': -18.8800491582301, 'Std': 7.264865965091064}","{'Mean': -18.254540398223263, 'Std': 8.138908339222208}","{'Mean': -20.78774141442929, 'Std': 6.018572752781813}","{'Mean': -18.462991098066762, 'Std': 7.5428646892396}"
"measuring NO2,measuring O3 2,measuring SO2 1,","{'Mean': -19.61489727504129, 'Std': 6.81839693350027}","{'Mean': -17.842587611549686, 'Std': 7.315076595378989}","{'Mean': -20.843417557315203, 'Std': 6.104365251098346}","{'Mean': -18.432478395923148, 'Std': 7.168155089515295}"
"measuring NO2,measuring O3 2,measuring SO2 2,","{'Mean': -19.025854690899244, 'Std': 6.844543964248569}","{'Mean': -17.918765561645472, 'Std': 7.287916363897668}","{'Mean': -22.71295729532861, 'Std': 5.343182005503426}","{'Mean': -18.5606495163823, 'Std': 7.0799299529822}"
"measuring NO2,measuring SO2 1,measuring SO2 2,","{'Mean': -20.273832330093065, 'Std': 6.600396115325731}","{'Mean': -18.038283530922328, 'Std': 8.30538947075279}","{'Mean': -21.46686142575339, 'Std': 5.75105390149064}","{'Mean': -18.563017576367375, 'Std': 7.504568065242579}"
"measuring NO2,measuring SO2 1,measuring PM10,","{'Mean': -19.6265008807431, 'Std': 7.697789421292243}","{'Mean': -18.034065612714173, 'Std': 8.377792334567847}","{'Mean': -20.508599178683134, 'Std': 7.172311217706744}","{'Mean': -18.185976778154973, 'Std': 8.396604871146145}"
"measuring NO2,measuring SO2 1,temperature,","{'Mean': -18.811482208831965, 'Std': 7.421118854725684}","{'Mean': -17.84698080647814, 'Std': 7.636330748681134}","{'Mean': -22.60708049237187, 'Std': 6.736065400717826}","{'Mean': -18.493060790961547, 'Std': 7.398930155849563}"
"measuring NO2,measuring SO2 2,measuring PM10,","{'Mean': -18.421225849654153, 'Std': 7.696672202511743}","{'Mean': -18.1573315367697, 'Std': 8.247398505986595}","{'Mean': -20.898254985047135, 'Std': 5.839496826999745}","{'Mean': -18.524586714095832, 'Std': 7.515061293727472}"
"measuring NO2,measuring SO2 2,temperature,","{'Mean': -19.565763394760914, 'Std': 6.871129330567908}","{'Mean': -18.013829781503425, 'Std': 7.577332614081547}","{'Mean': -21.75471442558742, 'Std': 5.467142131014984}","{'Mean': -19.077332235403652, 'Std': 6.981189061318439}"
"measuring O3 1,measuring O3 2,measuring SO2 1,","{'Mean': -20.55972700295764, 'Std': 7.194770022852284}","{'Mean': -17.835525128959148, 'Std': 7.324013893114792}","{'Mean': -24.197306532854537, 'Std': 6.868056228197059}","{'Mean': -18.45045625187788, 'Std': 7.1174796264158795}"
"measuring O3 1,measuring O3 2,measuring SO2 2,","{'Mean': -18.881652701947992, 'Std': 6.610247021567875}","{'Mean': -17.92945312434814, 'Std': 7.281026085271534}","{'Mean': -22.231031322344773, 'Std': 5.276537562097541}","{'Mean': -18.514689493385383, 'Std': 7.060988821832728}"
"measuring O3 1,measuring SO2 1,measuring SO2 2,","{'Mean': -19.727255099792334, 'Std': 6.763722171039766}","{'Mean': -18.106741946445496, 'Std': 8.20285181621559}","{'Mean': -20.88334281830491, 'Std': 5.692002729656004}","{'Mean': -18.175993647114684, 'Std': 7.446866189982869}"
"measuring O3 1,measuring SO2 1,measuring PM10,","{'Mean': -18.006678443456206, 'Std': 8.26327691577382}","{'Mean': -18.1026911549696, 'Std': 8.279445613485223}","{'Mean': -20.549347139537126, 'Std': 7.109517748955506}","{'Mean': -17.88896728668238, 'Std': 8.420368881968118}"
"measuring O3 1,measuring SO2 1,temperature,","{'Mean': -18.16846856959213, 'Std': 7.48984361346331}","{'Mean': -17.858869367439418, 'Std': 7.657914628238934}","{'Mean': -22.27015020191825, 'Std': 6.473240245958951}","{'Mean': -18.791357809050048, 'Std': 7.153645419524992}"
"measuring O3 1,measuring SO2 2,measuring PM10,","{'Mean': -18.839242517459446, 'Std': 7.4974240269124275}","{'Mean': -18.306071980428865, 'Std': 8.109758652000576}","{'Mean': -20.73973102124263, 'Std': 5.4306008157157875}","{'Mean': -18.19085945595654, 'Std': 7.392545482994968}"
"measuring O3 1,measuring SO2 2,temperature,","{'Mean': -18.500142676638113, 'Std': 7.320964443464456}","{'Mean': -18.048125762085384, 'Std': 7.580531624909404}","{'Mean': -21.134904745626528, 'Std': 5.86678291159259}","{'Mean': -19.06436245127934, 'Std': 6.896579409097623}"
"measuring O3 2,measuring SO2 1,measuring SO2 2,","{'Mean': -20.22116748930122, 'Std': 6.4622187832132}","{'Mean': -17.863659369146504, 'Std': 7.3066030932201755}","{'Mean': -21.59106637616971, 'Std': 6.176978144010399}","{'Mean': -18.51075594360183, 'Std': 7.070409078392043}"
"measuring O3 2,measuring SO2 1,measuring PM10,","{'Mean': -19.152156217358538, 'Std': 6.950907424165506}","{'Mean': -17.83625673802741, 'Std': 7.316529185807121}","{'Mean': -21.267989809050565, 'Std': 6.097087234611055}","{'Mean': -18.490191744995094, 'Std': 7.072928478684216}"
"measuring O3 2,measuring SO2 1,temperature,","{'Mean': -19.53074501141587, 'Std': 6.716678488837405}","{'Mean': -18.20864648258088, 'Std': 7.107476899030343}","{'Mean': -21.932965499239337, 'Std': 6.042876416988447}","{'Mean': -19.524959467048962, 'Std': 6.423244757396539}"
"measuring O3 2,measuring SO2 2,measuring PM10,","{'Mean': -18.394093278355683, 'Std': 7.266320431304519}","{'Mean': -17.915486473613736, 'Std': 7.283491395651112}","{'Mean': -21.649362738726047, 'Std': 5.509294790459045}","{'Mean': -18.572595094295792, 'Std': 6.999742853437663}"
"measuring O3 2,measuring SO2 2,temperature,","{'Mean': -19.07271647781845, 'Std': 6.883106079487727}","{'Mean': -18.338834857012724, 'Std': 7.052139683668772}","{'Mean': -21.570047905820616, 'Std': 5.799767520362697}","{'Mean': -19.46513492624214, 'Std': 6.451439937083941}"
"measuring SO2 1,measuring SO2 2,measuring PM10,","{'Mean': -20.041103663785428, 'Std': 6.759120882916352}","{'Mean': -18.045994438635873, 'Std': 8.289998371721332}","{'Mean': -20.896335854404725, 'Std': 6.1411674277781545}","{'Mean': -18.29571810217913, 'Std': 7.34735128289744}"
"measuring SO2 1,measuring SO2 2,temperature,","{'Mean': -18.229577122619823, 'Std': 7.4948540210617995}","{'Mean': -17.959190581481447, 'Std': 7.592245584797591}","{'Mean': -21.04972759950493, 'Std': 6.17439624210113}","{'Mean': -19.125143730195056, 'Std': 6.9089105630117364}"
"measuring SO2 1,measuring PM10,temperature,","{'Mean': -19.751218179222867, 'Std': 7.685138498482799}","{'Mean': -17.854002268441654, 'Std': 7.640103384258289}","{'Mean': -21.841834625399336, 'Std': 6.2752681077925905}","{'Mean': -18.850389544285758, 'Std': 7.181426613502116}"
"measuring SO2 2,measuring PM10,temperature,","{'Mean': -18.001556998521846, 'Std': 7.276933085607054}","{'Mean': -18.0176123544483, 'Std': 7.575928805412468}","{'Mean': -21.213211115048463, 'Std': 5.947213732613892}","{'Mean': -19.21066709360513, 'Std': 6.8267704024796485}"
"measuring CO,measuring NO2,measuring O3 1,measuring SO2 1,","{'Mean': -19.616906341751587, 'Std': 9.367649716782031}","{'Mean': -18.405128918975272, 'Std': 8.404543659192644}","{'Mean': -19.90132304069052, 'Std': 7.595712024566921}","{'Mean': -17.288489022532172, 'Std': 8.07145633068537}"
"measuring CO,measuring NO2,measuring O3 1,measuring SO2 2,","{'Mean': -19.84778857492102, 'Std': 7.432573101052435}","{'Mean': -18.393657866452877, 'Std': 8.210961685473618}","{'Mean': -21.305083736143985, 'Std': 5.587707686672345}","{'Mean': -17.50647154174453, 'Std': 7.7556412037151485}"
