,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring CO,measuring NO2,measuring PM10,temperature,","{'Mean': 1674.5990885224608, 'Std': 106.62909478607519}","{'Mean': 1513.0200506840447, 'Std': 195.00802526937403}","{'Mean': 1606.0908839422698, 'Std': 157.2545086145752}","{'Mean': 1601.529817026617, 'Std': 145.83137020899528}"
"measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': 1807.0615544089796, 'Std': 142.06570693984685}","{'Mean': 1649.1076070574402, 'Std': 189.38144300460186}","{'Mean': 1694.9361797150902, 'Std': 181.27148241148222}","{'Mean': 1719.0950245037486, 'Std': 167.688703830006}"
"measuring NO2,measuring O3 1,measuring O3 2,temperature,","{'Mean': 1819.9245760211024, 'Std': 85.94735692565132}","{'Mean': 1678.3930127674419, 'Std': 160.98407538155863}","{'Mean': 1734.6778936054463, 'Std': 168.03840119553598}","{'Mean': 1754.3347721276175, 'Std': 138.52009124811624}"
"measuring NO2,measuring O3 1,measuring PM10,temperature,","{'Mean': 1831.292120664996, 'Std': 160.53840945709956}","{'Mean': 1665.5810279415227, 'Std': 177.49236105806773}","{'Mean': 1707.1974703539124, 'Std': 174.2146439635639}","{'Mean': 1765.0501590943823, 'Std': 144.07499253406047}"
"measuring NO2,measuring O3 2,measuring PM10,temperature,","{'Mean': 1813.125185607196, 'Std': 94.61936057621772}","{'Mean': 1673.1470916722963, 'Std': 170.32875916018375}","{'Mean': 1702.9544116701934, 'Std': 173.5553763600575}","{'Mean': 1764.0013246574438, 'Std': 132.81266742642572}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': 1675.5264756296183, 'Std': 115.43733858754756}","{'Mean': 1532.2153465105, 'Std': 180.24799711912576}","{'Mean': 1588.7685528069114, 'Std': 196.56732814687095}","{'Mean': 1592.9875225996977, 'Std': 184.88315624535963}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,temperature,","{'Mean': 1693.5943383277565, 'Std': 111.39700545652242}","{'Mean': 1563.980019971755, 'Std': 158.001258955409}","{'Mean': 1585.4159991879703, 'Std': 186.95017383187223}","{'Mean': 1644.4551017979402, 'Std': 169.86908403687255}"
"measuring CO,measuring NO2,measuring O3 1,measuring PM10,temperature,","{'Mean': 1736.156628201221, 'Std': 138.3038477516204}","{'Mean': 1531.2034439964639, 'Std': 181.12664315801138}","{'Mean': 1593.7003214277638, 'Std': 202.32392230741354}","{'Mean': 1609.9323164511152, 'Std': 175.87569278188818}"
"measuring CO,measuring NO2,measuring O3 2,measuring PM10,temperature,","{'Mean': 1752.7704544082787, 'Std': 105.89547018752062}","{'Mean': 1535.8320359946601, 'Std': 180.27606493949506}","{'Mean': 1608.1656846993253, 'Std': 157.82811891684452}","{'Mean': 1628.0338207754469, 'Std': 138.3632585517759}"
"measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': 1884.4185363197091, 'Std': 98.23781076562695}","{'Mean': 1684.3418343414494, 'Std': 164.4046754185743}","{'Mean': 1719.8101777829067, 'Std': 171.65503630738377}","{'Mean': 1770.3062922866895, 'Std': 135.75678798047272}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': 1730.0014380997748, 'Std': 105.09285281595136}","{'Mean': 1559.7582678281815, 'Std': 163.18899558603238}","{'Mean': 1590.6731523516119, 'Std': 190.37755474294187}","{'Mean': 1615.3751519684467, 'Std': 154.90816756884928}"
