,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': -126.67643998217257, 'Std': 31.697380270474444}","{'Mean': -106.04535300910288, 'Std': 37.90085827914966}","{'Mean': -114.91402129101878, 'Std': 33.51681791156878}","{'Mean': -129.09956384271712, 'Std': 24.176924515442032}"
"measuring NO2,measuring O3 1,measuring PM10,temperature,","{'Mean': -153.35979612389258, 'Std': 35.192168049247236}","{'Mean': -106.86001927490504, 'Std': 34.71565257770927}","{'Mean': -117.71087332580363, 'Std': 26.315439539172477}","{'Mean': -123.48328249869523, 'Std': 18.934635924248827}"
"measuring NO2,measuring O3 2,measuring PM10,temperature,","{'Mean': -156.20758413263766, 'Std': 27.11406116724907}","{'Mean': -105.9213261139811, 'Std': 29.850931610783732}","{'Mean': -122.59755166674621, 'Std': 20.46840882797855}","{'Mean': -136.77265170110454, 'Std': 13.975340503058977}"
"measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': -172.4376508510902, 'Std': 49.33664580658452}","{'Mean': -103.14947849343564, 'Std': 28.860770010121193}","{'Mean': -120.91660427640659, 'Std': 27.32795404498735}","{'Mean': -140.57131536480583, 'Std': 16.399989370163762}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': -262.00482031695, 'Std': 219.88137333720238}","{'Mean': -105.96581550258986, 'Std': 40.911682141179675}","{'Mean': -138.43869864321502, 'Std': 64.90025871315574}","{'Mean': -143.27479178016202, 'Std': 62.5166544907202}"
"measuring CO,measuring NO2,measuring O3 1,measuring PM10,temperature,","{'Mean': -266.2371037556442, 'Std': 226.85632343758294}","{'Mean': -109.35483206312968, 'Std': 38.922367581456776}","{'Mean': -139.7480556461603, 'Std': 65.71115195661716}","{'Mean': -133.2871798995683, 'Std': 58.642174325154194}"
"measuring CO,measuring NO2,measuring O3 2,measuring PM10,temperature,","{'Mean': -181.83231837543056, 'Std': 57.12343100514972}","{'Mean': -112.1864937672738, 'Std': 40.65633442108504}","{'Mean': -135.89219353899622, 'Std': 34.77956562724316}","{'Mean': -145.87505551161908, 'Std': 47.02131830099357}"
"measuring CO,measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': -317.9850958302361, 'Std': 237.09672807133137}","{'Mean': -104.17034079856835, 'Std': 31.053277296963998}","{'Mean': -151.94305885181407, 'Std': 77.18281925123588}","{'Mean': -145.9028039561405, 'Std': 48.675496873625704}"
"measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': -205.21462716029964, 'Std': 66.21722724614612}","{'Mean': -107.54532376395609, 'Std': 35.17952239573575}","{'Mean': -119.59867215928999, 'Std': 29.95566598212207}","{'Mean': -138.15726090595652, 'Std': 17.544304462183728}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': -680.7054931603682, 'Std': 753.4418867318359}","{'Mean': -108.87672368172362, 'Std': 37.9747316652715}","{'Mean': -136.7725256345259, 'Std': 55.17105957136151}","{'Mean': -149.59168874001477, 'Std': 58.56365010737522}"
