,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring CO,measuring SO2 1,measuring SO2 2,","{'Mean': -1.1193239731320284, 'Std': 1.50680090035939}","{'Mean': -0.13957444763845214, 'Std': 0.22537651950364956}","{'Mean': -1.2688963024643494, 'Std': 1.3857951231169274}","{'Mean': -0.12094000605988427, 'Std': 0.385206128266525}"
"measuring CO,measuring SO2 1,measuring PM10,","{'Mean': -0.14522001775883867, 'Std': 0.21573264968170436}","{'Mean': -0.13541948556434033, 'Std': 0.24313020554850598}","{'Mean': -0.8026700152268245, 'Std': 0.8003970257626408}","{'Mean': -0.02622213119684902, 'Std': 0.12712435729335325}"
"measuring CO,measuring SO2 1,temperature,","{'Mean': -0.24141497422310473, 'Std': 0.3778235384814424}","{'Mean': -0.11872732081954522, 'Std': 0.21371871400851317}","{'Mean': -1.262639638129875, 'Std': 1.5087546845713877}","{'Mean': -0.3590699482760713, 'Std': 0.487671158300421}"
"measuring CO,measuring SO2 2,measuring PM10,","{'Mean': -0.10914838245383847, 'Std': 0.2381680323857574}","{'Mean': -0.1435187547966545, 'Std': 0.20494295673566543}","{'Mean': -0.9926805886744287, 'Std': 1.1802063777447283}","{'Mean': -0.13176928133899646, 'Std': 0.4103898164125755}"
"measuring CO,measuring SO2 2,temperature,","{'Mean': -0.1807141415858858, 'Std': 0.28139834976495093}","{'Mean': -0.14605808932790254, 'Std': 0.22455740567979374}","{'Mean': -1.1590643327825372, 'Std': 1.350808755053719}","{'Mean': -0.38898904457472244, 'Std': 0.4832348157661192}"
"measuring NO2,measuring O3 1,measuring SO2 1,","{'Mean': -0.3841339460656258, 'Std': 0.43159109250687805}","{'Mean': -0.15497855272139588, 'Std': 0.2029190108958446}","{'Mean': -0.5560915303888547, 'Std': 0.5166358759091279}","{'Mean': -0.13208684492841477, 'Std': 0.22719256893229542}"
"measuring NO2,measuring O3 1,measuring SO2 2,","{'Mean': -0.3587582780482147, 'Std': 0.4293816500974895}","{'Mean': -0.197279824490521, 'Std': 0.25557318693080044}","{'Mean': -1.1003385829968322, 'Std': 1.642899162254025}","{'Mean': -0.345571150706023, 'Std': 0.6627023879748053}"
"measuring NO2,measuring O3 2,measuring SO2 1,","{'Mean': -0.6371194411788916, 'Std': 0.8413596097337218}","{'Mean': -0.20672303720142624, 'Std': 0.3940630348915232}","{'Mean': -1.0116148141372663, 'Std': 1.2147220123427178}","{'Mean': -0.31323277442529973, 'Std': 0.44154034309024276}"
"measuring NO2,measuring O3 2,measuring SO2 2,","{'Mean': -0.46982301064893867, 'Std': 0.67099196479836}","{'Mean': -0.2130300078966903, 'Std': 0.37371588308679005}","{'Mean': -1.5833068989907413, 'Std': 1.87745764004013}","{'Mean': -0.3530451595550981, 'Std': 0.500537241635}"
"measuring NO2,measuring SO2 1,measuring SO2 2,","{'Mean': -0.7520826502645626, 'Std': 0.88855580077573}","{'Mean': -0.1621317582152465, 'Std': 0.28617448677608487}","{'Mean': -1.1602538003479184, 'Std': 1.4371281052217182}","{'Mean': -0.3630616628880371, 'Std': 0.6695075507818952}"
