,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring CO,measuring O3 2,measuring PM10,temperature,","{'Mean': 1838.3388618907077, 'Std': 115.48697421732442}","{'Mean': 1668.9425981331212, 'Std': 109.460522586633}","{'Mean': 1757.7647630155668, 'Std': 122.6245021746993}","{'Mean': 1760.6069120178581, 'Std': 91.63725553047}"
"measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': 1732.1986890524124, 'Std': 88.95402097500666}","{'Mean': 1657.2634098786157, 'Std': 125.8512910587049}","{'Mean': 1693.9929809718353, 'Std': 100.09061323534739}","{'Mean': 1744.2235410156409, 'Std': 63.62461157721863}"
"measuring NO2,measuring O3 1,measuring PM10,temperature,","{'Mean': 1802.1194945439474, 'Std': 83.40794342107411}","{'Mean': 1664.4822236157834, 'Std': 111.57212785298574}","{'Mean': 1708.683230142194, 'Std': 75.82629651888126}","{'Mean': 1730.195715244908, 'Std': 52.49460424267323}"
"measuring NO2,measuring O3 2,measuring PM10,temperature,","{'Mean': 1812.7497209893202, 'Std': 63.7013620104538}","{'Mean': 1665.5470709635572, 'Std': 98.0167957342621}","{'Mean': 1726.8921877309804, 'Std': 57.05767299513691}","{'Mean': 1768.7844666175495, 'Std': 38.097863579231415}"
"measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': 1839.347021882351, 'Std': 100.85612115228686}","{'Mean': 1656.349647379544, 'Std': 96.75268879263828}","{'Mean': 1718.0710598178787, 'Std': 76.99324822246646}","{'Mean': 1777.993155959464, 'Std': 43.490838727773394}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': 1884.005274340483, 'Std': 284.0336865537991}","{'Mean': 1655.3200314952076, 'Std': 135.6442703918272}","{'Mean': 1740.8903841259762, 'Std': 156.62998660386305}","{'Mean': 1758.0626179748372, 'Std': 145.7718396430845}"
"measuring CO,measuring NO2,measuring O3 1,measuring PM10,temperature,","{'Mean': 1885.2941882282473, 'Std': 289.3276592649036}","{'Mean': 1671.369942106742, 'Std': 121.20972177018949}","{'Mean': 1744.063035238353, 'Std': 157.02006978988683}","{'Mean': 1731.829009753471, 'Std': 146.36817516124182}"
"measuring CO,measuring NO2,measuring O3 2,measuring PM10,temperature,","{'Mean': 1855.5792055837157, 'Std': 119.3659648968256}","{'Mean': 1679.7214920401345, 'Std': 123.48656990659468}","{'Mean': 1759.6223506196293, 'Std': 86.08449509355049}","{'Mean': 1778.3667062591524, 'Std': 109.78071485508617}"
"measuring CO,measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': 1977.8989239284401, 'Std': 257.4314572212763}","{'Mean': 1660.2469582650863, 'Std': 102.09131569698623}","{'Mean': 1768.796156383606, 'Std': 166.5083982141556}","{'Mean': 1777.7360280401338, 'Std': 110.94081477362629}"
"measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': 1899.9975921896205, 'Std': 112.4665248296244}","{'Mean': 1668.5098748835771, 'Std': 112.4010322715383}","{'Mean': 1713.9966132947047, 'Std': 86.5416119650704}","{'Mean': 1773.3197286741622, 'Std': 47.301589577827066}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': 2097.4166801147217, 'Std': 416.5841618681448}","{'Mean': 1672.630468154036, 'Std': 118.86854106569872}","{'Mean': 1747.6489261561883, 'Std': 136.2651621745234}","{'Mean': 1781.9930360962262, 'Std': 129.3324827162963}"
