,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring CO,measuring O3 2,measuring PM10,","{'Mean': -0.06172017780436976, 'Std': 0.012933980908990693}","{'Mean': -0.06069678481802384, 'Std': 0.013362394866117776}","{'Mean': -0.06841944959104931, 'Std': 0.015094964219590957}","{'Mean': -0.060653789290616746, 'Std': 0.012501669703084901}"
"measuring CO,measuring O3 2,temperature,","{'Mean': -0.06015284731935218, 'Std': 0.01224184520147907}","{'Mean': -0.05938354056146955, 'Std': 0.013174625633159293}","{'Mean': -0.06617854659187711, 'Std': 0.012427713507106692}","{'Mean': -0.06096978946057915, 'Std': 0.0127121971824623}"
"measuring CO,measuring SO2 1,measuring SO2 2,","{'Mean': -0.14237649440327158, 'Std': 0.09372011797735194}","{'Mean': -0.06139031226827666, 'Std': 0.011222651463218736}","{'Mean': -0.06271869138515485, 'Std': 0.008926836158507473}","{'Mean': -0.06022069481062353, 'Std': 0.012091802741403623}"
"measuring CO,measuring SO2 1,measuring PM10,","{'Mean': -0.061804797566135106, 'Std': 0.01221595884413887}","{'Mean': -0.06054618834630784, 'Std': 0.012026390978855975}","{'Mean': -0.06536117094161384, 'Std': 0.012781981482683084}","{'Mean': -0.06011784345922531, 'Std': 0.01218328166226046}"
"measuring CO,measuring SO2 1,temperature,","{'Mean': -0.07582471369937165, 'Std': 0.012704700231400705}","{'Mean': -0.06081379760548602, 'Std': 0.011989210163081594}","{'Mean': -0.06690581000486126, 'Std': 0.01362199867908479}","{'Mean': -0.06075286185690117, 'Std': 0.012451425348700917}"
"measuring CO,measuring SO2 2,measuring PM10,","{'Mean': -0.06213676436513162, 'Std': 0.012419280407423601}","{'Mean': -0.06153462417979039, 'Std': 0.012075315484479415}","{'Mean': -0.06726699028358837, 'Std': 0.011740024338745674}","{'Mean': -0.06018907304209024, 'Std': 0.012156624558571194}"
"measuring CO,measuring SO2 2,temperature,","{'Mean': -0.06875987992752837, 'Std': 0.01659800273059495}","{'Mean': -0.06178493156505296, 'Std': 0.011869037240535372}","{'Mean': -0.06137556288468958, 'Std': 0.010064636297666083}","{'Mean': -0.06037478883295001, 'Std': 0.012303758559292364}"
"measuring CO,measuring PM10,temperature,","{'Mean': -0.06089662288477726, 'Std': 0.013122935251236863}","{'Mean': -0.06097487343896648, 'Std': 0.012941286364321382}","{'Mean': -0.06691831246343043, 'Std': 0.012850483704992807}","{'Mean': -0.06067796955931819, 'Std': 0.012486470561092075}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,","{'Mean': -0.07874946723421766, 'Std': 0.02228819511084435}","{'Mean': -0.06131103862445264, 'Std': 0.01106570000069501}","{'Mean': -0.06428274805610648, 'Std': 0.0095641282147922}","{'Mean': -0.05885027550444242, 'Std': 0.011325330427614098}"
"measuring CO,measuring NO2,measuring O3 1,measuring SO2 1,","{'Mean': -0.17316647165463123, 'Std': 0.11098675705849584}","{'Mean': -0.06129950729998669, 'Std': 0.010455176166773753}","{'Mean': -0.06174499926099526, 'Std': 0.01140847279150545}","{'Mean': -0.05816830878408567, 'Std': 0.010883154528573332}"
"measuring CO,measuring NO2,measuring O3 1,measuring SO2 2,","{'Mean': -0.13212462039406503, 'Std': 0.05063255789463582}","{'Mean': -0.062012835611719976, 'Std': 0.010512050500052703}","{'Mean': -0.06290261711616839, 'Std': 0.009911629473393227}","{'Mean': -0.05966987840562704, 'Std': 0.010910336181274407}"
"measuring CO,measuring NO2,measuring O3 1,measuring PM10,","{'Mean': -0.06493752708376983, 'Std': 0.010444891669441613}","{'Mean': -0.06147504607602259, 'Std': 0.011088994053566427}","{'Mean': -0.06023665188795346, 'Std': 0.011478373332684307}","{'Mean': -0.058264873391792316, 'Std': 0.010951135109826381}"
"measuring CO,measuring NO2,measuring O3 1,temperature,","{'Mean': -0.07088229576845655, 'Std': 0.010115817351862963}","{'Mean': -0.061842422685474685, 'Std': 0.010679242422139357}","{'Mean': -0.06373629944528342, 'Std': 0.011222721003725419}","{'Mean': -0.059147002846103316, 'Std': 0.011189100015357297}"
"measuring CO,measuring NO2,measuring O3 2,measuring SO2 1,","{'Mean': -0.15449048693034284, 'Std': 0.11021508550370021}","{'Mean': -0.060915895852571754, 'Std': 0.01214949870669948}","{'Mean': -0.06627355458154907, 'Std': 0.011656600977266836}","{'Mean': -0.05985378347506398, 'Std': 0.011967473222622869}"
"measuring CO,measuring NO2,measuring O3 2,measuring SO2 2,","{'Mean': -0.09916770396820941, 'Std': 0.06197058904194173}","{'Mean': -0.0609945274997347, 'Std': 0.011819018708269374}","{'Mean': -0.06480867872408023, 'Std': 0.01674517161418773}","{'Mean': -0.05999389908038473, 'Std': 0.011731909469131076}"
"measuring CO,measuring NO2,measuring O3 2,measuring PM10,","{'Mean': -0.0631444127413581, 'Std': 0.012402679024236031}","{'Mean': -0.061092774767190106, 'Std': 0.013039587096323876}","{'Mean': -0.06737263710876615, 'Std': 0.01052851069250133}","{'Mean': -0.059784322027943884, 'Std': 0.011984442717726427}"
