,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring CO,measuring NO2,measuring PM10,temperature,","{'Mean': -0.6872787952060513, 'Std': 0.6626293180722206}","{'Mean': 0.08939055849461974, 'Std': 0.058598361141361216}","{'Mean': -0.19521286400830698, 'Std': 0.13410599664401956}","{'Mean': -0.1753300242846254, 'Std': 0.13034098635269947}"
"measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': -1.8828713409677673, 'Std': 1.7813107152852066}","{'Mean': -0.3278527368755859, 'Std': 0.0424749754337407}","{'Mean': -0.5176418365095, 'Std': 0.03798964926339379}","{'Mean': -0.5989415669729338, 'Std': 0.13306584805975022}"
"measuring NO2,measuring O3 1,measuring O3 2,temperature,","{'Mean': -0.9971786911972179, 'Std': 0.4915899739407759}","{'Mean': -0.4434579682125612, 'Std': 0.08944759516256257}","{'Mean': -0.7188472721992265, 'Std': 0.3210972821729819}","{'Mean': -0.8922122515933051, 'Std': 0.29523559451019804}"
"measuring NO2,measuring O3 1,measuring PM10,temperature,","{'Mean': -2.1623017279302914, 'Std': 2.2022908723721977}","{'Mean': -0.39193898403849653, 'Std': 0.08055070488278676}","{'Mean': -0.5770198486868182, 'Std': 0.21600774815622578}","{'Mean': -0.9441739305787203, 'Std': 0.4238348583274209}"
"measuring NO2,measuring O3 2,measuring PM10,temperature,","{'Mean': -1.224475850651219, 'Std': 0.43263519841543474}","{'Mean': -0.42246661999114493, 'Std': 0.09615054789253645}","{'Mean': -0.5191220251454736, 'Std': 0.020272988457153456}","{'Mean': -0.7758323270269741, 'Std': 0.23845482275849042}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': -0.5006313037191878, 'Std': 0.5062707578409795}","{'Mean': 0.04686735376302239, 'Std': 0.006063155489787872}","{'Mean': -0.12326893199937021, 'Std': 0.09266767693544654}","{'Mean': -0.13033862280701292, 'Std': 0.024089132453400875}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,temperature,","{'Mean': -0.42753096809678964, 'Std': 0.32486031991867587}","{'Mean': -0.046736506454545045, 'Std': 0.0684250773199232}","{'Mean': -0.10781865825439652, 'Std': 0.06685740847222107}","{'Mean': -0.22438551457797185, 'Std': 0.06356747050229443}"
"measuring CO,measuring NO2,measuring O3 1,measuring PM10,temperature,","{'Mean': -0.7432786346826962, 'Std': 0.4288301837481786}","{'Mean': 0.0491211633817504, 'Std': 0.027537762081009658}","{'Mean': -0.14178884356171131, 'Std': 0.09285391987394612}","{'Mean': -0.2544563352354207, 'Std': 0.08705959304148635}"
"measuring CO,measuring NO2,measuring O3 2,measuring PM10,temperature,","{'Mean': -0.7358552847018243, 'Std': 0.7300351010528563}","{'Mean': 0.03493068796417061, 'Std': 0.037283448025643706}","{'Mean': -0.19380897673607053, 'Std': 0.13953024504768105}","{'Mean': -0.23736885059127114, 'Std': 0.16759855994308515}"
"measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': -2.29807325908402, 'Std': 1.7995567285837215}","{'Mean': -0.45927584841151375, 'Std': 0.08219699246649234}","{'Mean': -0.617168135444128, 'Std': 0.11168344452345177}","{'Mean': -0.8716497078875248, 'Std': 0.25316134318024686}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': -0.5685515451164552, 'Std': 0.4771470516628919}","{'Mean': -0.026652986485916703, 'Std': 0.05273125471825921}","{'Mean': -0.1253389197858746, 'Std': 0.07267086542403306}","{'Mean': -0.21003940331915807, 'Std': 0.10416901359255662}"
