,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring CO,measuring NO2,measuring PM10,temperature,","{'Mean': 1694.0017534544643, 'Std': 106.62909478607519}","{'Mean': 1532.422715616048, 'Std': 195.00802526937403}","{'Mean': 1625.4935488742733, 'Std': 157.2545086145752}","{'Mean': 1620.9324819586202, 'Std': 145.83137020899528}"
"measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': 1826.464219340983, 'Std': 142.06570693984685}","{'Mean': 1668.510271989444, 'Std': 189.38144300460186}","{'Mean': 1714.3388446470935, 'Std': 181.27148241148225}","{'Mean': 1738.4976894357524, 'Std': 167.688703830006}"
"measuring NO2,measuring O3 1,measuring O3 2,temperature,","{'Mean': 1839.3272409531062, 'Std': 85.94735692565132}","{'Mean': 1697.7956776994452, 'Std': 160.98407538155865}","{'Mean': 1754.08055853745, 'Std': 168.03840119553598}","{'Mean': 1773.7374370596208, 'Std': 138.52009124811624}"
"measuring NO2,measuring O3 1,measuring PM10,temperature,","{'Mean': 1850.6947855969995, 'Std': 160.53840945709956}","{'Mean': 1684.9836928735265, 'Std': 177.49236105806773}","{'Mean': 1726.600135285916, 'Std': 174.2146439635639}","{'Mean': 1784.4528240263855, 'Std': 144.07499253406047}"
"measuring NO2,measuring O3 2,measuring PM10,temperature,","{'Mean': 1832.5278505391998, 'Std': 94.61936057621772}","{'Mean': 1692.5497566042995, 'Std': 170.32875916018378}","{'Mean': 1722.357076602197, 'Std': 173.5553763600575}","{'Mean': 1783.4039895894475, 'Std': 132.81266742642572}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': 1698.8096735480224, 'Std': 115.43733858754757}","{'Mean': 1555.498544428904, 'Std': 180.24799711912587}","{'Mean': 1612.0517507253155, 'Std': 196.56732814687106}","{'Mean': 1616.270720518102, 'Std': 184.88315624535957}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,temperature,","{'Mean': 1716.8775362461608, 'Std': 111.39700545652249}","{'Mean': 1587.2632178901592, 'Std': 158.00125895540899}","{'Mean': 1608.6991971063744, 'Std': 186.9501738318723}","{'Mean': 1667.7382997163447, 'Std': 169.86908403687247}"
"measuring CO,measuring NO2,measuring O3 1,measuring PM10,temperature,","{'Mean': 1759.4398261196254, 'Std': 138.3038477516203}","{'Mean': 1554.4866419148682, 'Std': 181.1266431580114}","{'Mean': 1616.9835193461677, 'Std': 202.32392230741354}","{'Mean': 1633.2155143695193, 'Std': 175.87569278188826}"
"measuring CO,measuring NO2,measuring O3 2,measuring PM10,temperature,","{'Mean': 1776.0536523266828, 'Std': 105.89547018752053}","{'Mean': 1559.1152339130642, 'Std': 180.27606493949506}","{'Mean': 1631.4488826177294, 'Std': 157.8281189168445}","{'Mean': 1651.3170186938512, 'Std': 138.36325855177603}"
"measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': 1907.7017342381132, 'Std': 98.23781076562688}","{'Mean': 1707.6250322598535, 'Std': 164.40467541857424}","{'Mean': 1743.093375701311, 'Std': 171.65503630738377}","{'Mean': 1793.5894902050939, 'Std': 135.75678798047278}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': 1757.1651690045794, 'Std': 105.09285281595136}","{'Mean': 1586.9219987329864, 'Std': 163.18899558603238}","{'Mean': 1617.8368832564167, 'Std': 190.37755474294187}","{'Mean': 1642.5388828732519, 'Std': 154.90816756884928}"
