,Sensores,MLP,MLR,KNN,RF
50,O3 2 + PM10 + T,-10.91 ± 1.75,-9.65 ± 2.44,-9.96 ± 2.46,-9.22 ± 2.05
51,CO + NO2 + O3 1 + O3 2,-15.41 ± 3.82,-10.64 ± 1.97,-11.55 ± 1.65,-13.07 ± 3.96
52,CO + NO2 + O3 1 + SO2 1,-20.28 ± 2.79,-14.29 ± 2.73,-14.11 ± 2.1,-14.27 ± 2.53
53,CO + NO2 + O3 1 + SO2 2,-20.23 ± 7.62,-13.08 ± 2.69,-12.69 ± 1.74,-11.51 ± 2.56
54,CO + NO2 + O3 1 + PM10,-18.76 ± 6.39,-14.15 ± 2.8,-14.42 ± 3.22,-15.35 ± 3.78
55,CO + NO2 + O3 1 + T,-18.47 ± 11.38,-8.67 ± 1.87,-9.88 ± 1.73,-9.17 ± 1.73
56,CO + NO2 + O3 2 + SO2 1,-16.98 ± 2.7,-11.51 ± 2.24,-12.08 ± 2.04,-12.69 ± 2.89
57,CO + NO2 + O3 2 + SO2 2,-18.1 ± 7.98,-11.23 ± 2.18,-11.11 ± 1.96,-10.74 ± 1.91
58,CO + NO2 + O3 2 + PM10,-17.1 ± 7.63,-11.32 ± 2.31,-11.9 ± 1.91,-12.87 ± 4.04
59,CO + NO2 + O3 2 + T,-16.78 ± 5.6,-9.07 ± 2.27,-9.98 ± 2.14,-9.73 ± 2.12
60,CO + O3 1 + O3 2 + SO2 1,-14.46 ± 3.7,-10.59 ± 1.9,-12.64 ± 2.66,-13.11 ± 3.48
61,CO + O3 1 + O3 2 + SO2 2,-14.68 ± 3.83,-10.24 ± 2.11,-11.33 ± 1.71,-10.84 ± 2.28
62,CO + O3 1 + O3 2 + PM10,-15.28 ± 4.37,-10.52 ± 1.81,-12.4 ± 2.34,-12.66 ± 3.56
63,CO + O3 1 + O3 2 + T,-13.53 ± 3.01,-8.63 ± 1.94,-9.76 ± 1.7,-9.07 ± 1.72
64,CO + O3 1 + SO2 1 + SO2 2,-17.27 ± 2.73,-13.08 ± 2.65,-13.19 ± 1.63,-11.47 ± 2.17
65,CO + O3 1 + SO2 1 + PM10,-18.6 ± 5.31,-14.16 ± 2.63,-15.03 ± 3.19,-15.39 ± 3.76
66,CO + O3 1 + SO2 1 + T,-11.26 ± 2.78,-8.6 ± 1.79,-9.98 ± 1.93,-9.31 ± 1.89
67,CO + O3 1 + SO2 2 + PM10,-16.25 ± 2.83,-12.97 ± 2.48,-13.33 ± 2.78,-11.67 ± 2.09
68,CO + O3 1 + SO2 2 + T,-14.94 ± 6.34,-8.55 ± 1.8,-9.49 ± 1.76,-8.82 ± 1.97
69,CO + O3 1 + PM10 + T,-13.38 ± 3.08,-8.65 ± 1.85,-10.09 ± 1.95,-9.33 ± 1.78
