,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
measuring | ,"{'Mean': -0.42360272401387045, 'Std': 0.2139621725765667}","{'Mean': -0.6138482583259227, 'Std': 0.4658055637762877}","{'Mean': -0.46936721673882187, 'Std': 0.2881837324526967}","{'Mean': -0.5964961054690076, 'Std': 0.33530211516613306}"
measuring | temperature | ,"{'Mean': -1.4767420426805338, 'Std': 1.0128723425737594}","{'Mean': -0.6481560918855436, 'Std': 0.44883854510730287}","{'Mean': -0.6828697221389732, 'Std': 0.4168047736400961}","{'Mean': -0.7007622098846937, 'Std': 0.46998832734464724}"
