,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring CO,measuring NO2,measuring O3 2,temperature,","{'Mean': -0.004999541221260066, 'Std': 0.0012827912777191497}","{'Mean': -0.004306320430039278, 'Std': 0.0011618952197132684}","{'Mean': -0.005400077474710181, 'Std': 0.0013371163992220644}","{'Mean': -0.004675334482550965, 'Std': 0.0010904348266642676}"
"measuring CO,measuring NO2,measuring PM10,temperature,","{'Mean': -0.0050842548114682935, 'Std': 0.001546574357909411}","{'Mean': -0.004579345378357601, 'Std': 0.0011161012068464692}","{'Mean': -0.004854363679556482, 'Std': 0.0012343420141688038}","{'Mean': -0.0043742742613911345, 'Std': 0.001068029701951998}"
"measuring CO,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': -0.004535137418569067, 'Std': 0.0013851673689972662}","{'Mean': -0.004210403878145757, 'Std': 0.0009600201751200687}","{'Mean': -0.004235578155663423, 'Std': 0.0010283740634870078}","{'Mean': -0.004263416285723164, 'Std': 0.0010483969100545183}"
"measuring CO,measuring O3 1,measuring O3 2,temperature,","{'Mean': -0.005294998039296328, 'Std': 0.0016655675683799433}","{'Mean': -0.004192238686435546, 'Std': 0.001066221663113168}","{'Mean': -0.004562673987840493, 'Std': 0.0012652967835936485}","{'Mean': -0.004555303116251596, 'Std': 0.001083669416614285}"
"measuring CO,measuring O3 1,measuring PM10,temperature,","{'Mean': -0.004831871787801825, 'Std': 0.0013987048948268413}","{'Mean': -0.004472883385406231, 'Std': 0.00108423642015178}","{'Mean': -0.0041827708024850035, 'Std': 0.0010780188169108185}","{'Mean': -0.004306122649861331, 'Std': 0.0012978170892927773}"
"measuring CO,measuring O3 2,measuring PM10,temperature,","{'Mean': -0.0057118067753486245, 'Std': 0.0017435215351881486}","{'Mean': -0.004407802941413408, 'Std': 0.0012195713544676352}","{'Mean': -0.004997405345831939, 'Std': 0.001309662958979378}","{'Mean': -0.004620028316399053, 'Std': 0.0011400971851219166}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': -0.004122901095414849, 'Std': 0.0011505369433366817}","{'Mean': -0.004222404856184556, 'Std': 0.0009439508701908833}","{'Mean': -0.004271101288590756, 'Std': 0.0010165982228916128}","{'Mean': -0.004172091498970451, 'Std': 0.0009661681644044358}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,temperature,","{'Mean': -0.005221326991909234, 'Std': 0.001714725281704322}","{'Mean': -0.004165063827922193, 'Std': 0.0010500684673182702}","{'Mean': -0.004706920964361108, 'Std': 0.0012716491827049802}","{'Mean': -0.00481345650684754, 'Std': 0.0014568131036785106}"
"measuring CO,measuring NO2,measuring O3 1,measuring PM10,temperature,","{'Mean': -0.004856853060641161, 'Std': 0.001500595982557586}","{'Mean': -0.00448112969575186, 'Std': 0.0010595066182198264}","{'Mean': -0.004300589246009953, 'Std': 0.0011650679382870443}","{'Mean': -0.004249894966157464, 'Std': 0.001169430818149346}"
"measuring CO,measuring NO2,measuring O3 2,measuring PM10,temperature,","{'Mean': -0.005452108133871547, 'Std': 0.0014531742211435945}","{'Mean': -0.004386111787619484, 'Std': 0.0012005303042859745}","{'Mean': -0.004968749709271717, 'Std': 0.0011649916278236349}","{'Mean': -0.004545693612104427, 'Std': 0.00105079580843665}"
"measuring CO,measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': -0.004972577408662647, 'Std': 0.0010072782668980903}","{'Mean': -0.004286680253198611, 'Std': 0.0011036005141575134}","{'Mean': -0.004368477488263335, 'Std': 0.0011107326519413981}","{'Mean': -0.0044513198614858545, 'Std': 0.0010594438524649133}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': -0.004874369461528004, 'Std': 0.0008917601294665791}","{'Mean': -0.004257772614214175, 'Std': 0.0010802774656978253}","{'Mean': -0.004506698990003682, 'Std': 0.0011246931223337718}","{'Mean': -0.004405881573769734, 'Std': 0.0010982475385230188}"
