,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring CO,measuring SO2 1,measuring PM10,","{'Mean': -8.921423560518509, 'Std': 2.5451374528586213}","{'Mean': -9.399164961350667, 'Std': 4.216586650892263}","{'Mean': -11.165907692307693, 'Std': 2.9701532633869605}","{'Mean': -8.381300413490928, 'Std': 2.4186659530569425}"
"measuring CO,measuring SO2 1,temperature,","{'Mean': -8.971397259887903, 'Std': 2.498416696397454}","{'Mean': -9.945689814975303, 'Std': 2.6476880895831196}","{'Mean': -10.390703496503496, 'Std': 2.6777679818929596}","{'Mean': -9.570409976024727, 'Std': 2.6638524171476825}"
"measuring CO,measuring SO2 2,measuring PM10,","{'Mean': -8.886671149375454, 'Std': 2.7857535120137276}","{'Mean': -9.734718978123697, 'Std': 3.6590551892523795}","{'Mean': -9.934774825174824, 'Std': 1.5403886663670479}","{'Mean': -8.424585767087738, 'Std': 1.9823686655093642}"
"measuring CO,measuring SO2 2,temperature,","{'Mean': -8.719869064882841, 'Std': 2.0643133813613557}","{'Mean': -10.261601015313287, 'Std': 2.828891916731272}","{'Mean': -9.939994405594407, 'Std': 2.328613605162056}","{'Mean': -9.90863366460323, 'Std': 1.9618822764603316}"
"measuring NO2,measuring O3 1,measuring SO2 1,","{'Mean': -10.106322458565906, 'Std': 2.854896955166531}","{'Mean': -9.23629301780278, 'Std': 2.37267541354641}","{'Mean': -8.940502097902097, 'Std': 2.4740168706431067}","{'Mean': -9.007928518297323, 'Std': 2.3145664385453033}"
"measuring NO2,measuring O3 1,measuring SO2 2,","{'Mean': -9.256461556616648, 'Std': 1.7188200473002617}","{'Mean': -9.413909803580799, 'Std': 2.564753287408569}","{'Mean': -9.398878321678321, 'Std': 1.5557483772710745}","{'Mean': -8.896106675856291, 'Std': 2.3270790377819988}"
"measuring NO2,measuring O3 2,measuring SO2 1,","{'Mean': -9.480027791527368, 'Std': 1.973013068991701}","{'Mean': -8.92344398569455, 'Std': 2.1173760907970696}","{'Mean': -9.98384195804196, 'Std': 1.702954374645518}","{'Mean': -8.604325918163287, 'Std': 2.3580891332674114}"
"measuring NO2,measuring O3 2,measuring SO2 2,","{'Mean': -9.329352257013372, 'Std': 1.5055262362959705}","{'Mean': -9.149856535964474, 'Std': 2.017379555623682}","{'Mean': -11.246332867132868, 'Std': 2.210436279303228}","{'Mean': -8.761821469124131, 'Std': 2.305692108732756}"
"measuring NO2,measuring SO2 1,measuring SO2 2,","{'Mean': -9.663990013921119, 'Std': 1.4188872620236397}","{'Mean': -9.146208290718914, 'Std': 2.715792750330748}","{'Mean': -10.431103496503496, 'Std': 1.5250528237991525}","{'Mean': -9.055914875081525, 'Std': 2.2159417239121253}"
"measuring NO2,measuring SO2 1,measuring PM10,","{'Mean': -9.736928778634873, 'Std': 1.9334963628732347}","{'Mean': -9.157159840783855, 'Std': 2.4749496608256925}","{'Mean': -10.739082517482519, 'Std': 2.1878760674422084}","{'Mean': -9.121774587835171, 'Std': 2.414855346279793}"
"measuring NO2,measuring SO2 1,temperature,","{'Mean': -9.791918987115997, 'Std': 2.035730310427345}","{'Mean': -9.383641156071127, 'Std': 2.6677454962844007}","{'Mean': -10.753795804195803, 'Std': 2.4973454168821068}","{'Mean': -8.826270363880178, 'Std': 2.930615554276012}"
"measuring NO2,measuring SO2 2,measuring PM10,","{'Mean': -9.06741115269011, 'Std': 1.6063770604433938}","{'Mean': -9.295139567837449, 'Std': 2.644368154288043}","{'Mean': -9.88630909090909, 'Std': 1.8016592616945204}","{'Mean': -9.063512692441913, 'Std': 2.221107392534574}"
"measuring NO2,measuring SO2 2,temperature,","{'Mean': -9.723810876602936, 'Std': 1.1636778522113786}","{'Mean': -9.702383322684152, 'Std': 2.7143754796545045}","{'Mean': -10.126749650349648, 'Std': 1.415846716388219}","{'Mean': -9.46810091188948, 'Std': 2.530660874531657}"
"measuring O3 1,measuring O3 2,measuring SO2 1,","{'Mean': -9.687630990083411, 'Std': 2.7995379340431383}","{'Mean': -8.913436939052062, 'Std': 2.1522973482068353}","{'Mean': -13.470335664335664, 'Std': 6.407582709044848}","{'Mean': -8.618821056431225, 'Std': 2.4639691445031118}"
