,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring NO2,measuring O3 2,temperature,","{'Mean': -9.793216516134883, 'Std': 2.6166480852201697}","{'Mean': -10.904838755971559, 'Std': 2.1354398065990137}","{'Mean': -9.872650509970155, 'Std': 2.2083675892328656}","{'Mean': -9.79206514070028, 'Std': 2.1649962946289554}"
"measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': -10.782813661829513, 'Std': 2.4754101105948796}","{'Mean': -11.165145865218749, 'Std': 2.704430132076817}","{'Mean': -10.990279445756693, 'Std': 2.8532093307567004}","{'Mean': -10.32532187511278, 'Std': 1.8603798310635924}"
"measuring O3 1,measuring O3 2,temperature,","{'Mean': -9.881881382179555, 'Std': 2.058051428697537}","{'Mean': -10.89343310473206, 'Std': 2.001704351167374}","{'Mean': -10.027943403653234, 'Std': 2.33797308704709}","{'Mean': -9.568882831318843, 'Std': 1.9877774046765853}"
"measuring O3 1,measuring PM10,temperature,","{'Mean': -9.364027026483836, 'Std': 1.1331381069396023}","{'Mean': -10.318529947506832, 'Std': 1.9054801347888843}","{'Mean': -9.783706236727879, 'Std': 2.4072755474283}","{'Mean': -9.221641981157248, 'Std': 1.707476755396521}"
"measuring O3 2,measuring PM10,temperature,","{'Mean': -10.468493221223222, 'Std': 1.972263450595408}","{'Mean': -10.904692144536002, 'Std': 2.12518366662995}","{'Mean': -10.039506699470628, 'Std': 2.0699729525557835}","{'Mean': -9.51397863763686, 'Std': 1.7812898630947203}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,","{'Mean': -12.062115531556467, 'Std': 1.3554784056177465}","{'Mean': -11.190625864991416, 'Std': 2.902693977051133}","{'Mean': -11.491088661718516, 'Std': 2.0075867896961173}","{'Mean': -10.980994993000673, 'Std': 1.6916228930471733}"
"measuring CO,measuring NO2,measuring O3 1,measuring PM10,","{'Mean': -20.52650496484899, 'Std': 5.991304963849551}","{'Mean': -16.03077658911974, 'Std': 2.785020163198699}","{'Mean': -14.919067528108789, 'Std': 2.996491307955903}","{'Mean': -15.729436766840054, 'Std': 1.4963059787776647}"
"measuring CO,measuring NO2,measuring O3 1,temperature,","{'Mean': -9.560211120715886, 'Std': 1.4409888283359604}","{'Mean': -9.083491252632628, 'Std': 1.718768934439013}","{'Mean': -9.697727974434411, 'Std': 1.7960531379896056}","{'Mean': -8.929945947733843, 'Std': 1.5528234464487647}"
"measuring CO,measuring NO2,measuring O3 2,measuring PM10,","{'Mean': -12.92364306889966, 'Std': 3.0813634577802524}","{'Mean': -12.022568306379476, 'Std': 2.432774851402926}","{'Mean': -13.441072731785829, 'Std': 2.4360640180193025}","{'Mean': -12.895563097618085, 'Std': 2.5734554829452323}"
"measuring CO,measuring NO2,measuring O3 2,temperature,","{'Mean': -11.743611823928282, 'Std': 3.28408985396703}","{'Mean': -9.897245535480225, 'Std': 1.8457788140041653}","{'Mean': -12.080810497154836, 'Std': 3.3392343106134885}","{'Mean': -10.74121073956992, 'Std': 2.841196209147393}"
"measuring CO,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': -11.365559547578778, 'Std': 2.137693405829263}","{'Mean': -11.090536196401503, 'Std': 2.7911202116709557}","{'Mean': -12.057566299790357, 'Std': 2.689939572934637}","{'Mean': -10.393883269323133, 'Std': 1.621223653273808}"
"measuring CO,measuring O3 1,measuring O3 2,temperature,","{'Mean': -10.37465774164493, 'Std': 2.4180695001952053}","{'Mean': -9.416507453226837, 'Std': 1.5384890539435374}","{'Mean': -10.516488967774391, 'Std': 1.951765314408326}","{'Mean': -9.384951678473278, 'Std': 1.572850651778869}"
"measuring CO,measuring O3 1,measuring PM10,temperature,","{'Mean': -11.521387735908563, 'Std': 2.8920839718774585}","{'Mean': -9.053349944258942, 'Std': 1.6652551238621005}","{'Mean': -10.218856349183762, 'Std': 2.2750593546906406}","{'Mean': -8.972895020399124, 'Std': 1.4374353021473965}"
"measuring CO,measuring O3 2,measuring PM10,temperature,","{'Mean': -13.337811344665587, 'Std': 3.535140001455904}","{'Mean': -9.901998842742875, 'Std': 1.8040196800468735}","{'Mean': -12.819764306787059, 'Std': 3.5833493631406945}","{'Mean': -10.944554467367068, 'Std': 2.936728475485111}"
