,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring NO2,measuring O3 2,temperature,","{'Mean': -160.53260251914455, 'Std': 73.10842320412846}","{'Mean': -186.50395452740486, 'Std': 62.56169814983682}","{'Mean': -162.14512810325388, 'Std': 59.29480443254838}","{'Mean': -159.04673727082198, 'Std': 51.1337223254695}"
"measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': -190.53632895293015, 'Std': 79.93495139430661}","{'Mean': -204.74019677486945, 'Std': 91.97202716887533}","{'Mean': -212.95945993183417, 'Std': 102.36414089422745}","{'Mean': -182.90237244638345, 'Std': 61.74565096813898}"
"measuring O3 1,measuring O3 2,temperature,","{'Mean': -164.0629779686688, 'Std': 49.60645732158325}","{'Mean': -178.33914653998315, 'Std': 60.74604211747343}","{'Mean': -165.51805037557193, 'Std': 62.061363851161666}","{'Mean': -152.69483738261107, 'Std': 46.70094694461354}"
"measuring O3 1,measuring PM10,temperature,","{'Mean': -132.801674332561, 'Std': 47.28981367747457}","{'Mean': -165.6645528908987, 'Std': 60.985063877879035}","{'Mean': -169.69476107849596, 'Std': 80.45296934899366}","{'Mean': -142.9661307292523, 'Std': 48.434660627776736}"
"measuring O3 2,measuring PM10,temperature,","{'Mean': -180.40216711490066, 'Std': 70.88925181253933}","{'Mean': -185.46307436286907, 'Std': 61.44663023545448}","{'Mean': -169.9924664642115, 'Std': 65.35031708282692}","{'Mean': -156.38751397328997, 'Std': 44.74234656589814}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,","{'Mean': -225.62518657050433, 'Std': 60.58093518094139}","{'Mean': -208.83376173457705, 'Std': 93.44549761875372}","{'Mean': -224.42698195248727, 'Std': 76.14911447189162}","{'Mean': -200.0944776188827, 'Std': 67.9781329525592}"
"measuring CO,measuring NO2,measuring O3 1,measuring PM10,","{'Mean': -1673.6830650059208, 'Std': 1652.3645053027133}","{'Mean': -363.8087676721191, 'Std': 154.60345157670466}","{'Mean': -342.5326193734886, 'Std': 168.9797644239431}","{'Mean': -409.6567004828371, 'Std': 84.01800167129801}"
"measuring CO,measuring NO2,measuring O3 1,temperature,","{'Mean': -157.16958663586956, 'Std': 49.18989523772101}","{'Mean': -125.45665397159979, 'Std': 45.48456078666745}","{'Mean': -159.90256650128472, 'Std': 59.89779853954699}","{'Mean': -137.30480834365918, 'Std': 48.41112978847834}"
"measuring CO,measuring NO2,measuring O3 2,measuring PM10,","{'Mean': -360.53015840687914, 'Std': 147.25663782614467}","{'Mean': -231.63382895732425, 'Std': 93.40579036317526}","{'Mean': -290.8021076038547, 'Std': 92.4346652789056}","{'Mean': -265.44564300305154, 'Std': 85.85923454655563}"
"measuring CO,measuring NO2,measuring O3 2,temperature,","{'Mean': -184.44968544915153, 'Std': 67.64590130405264}","{'Mean': -147.68786924134017, 'Std': 39.01888886684825}","{'Mean': -222.85475578069693, 'Std': 84.68407739436523}","{'Mean': -172.01192938542079, 'Std': 59.05341014709279}"
"measuring CO,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': -201.08151000818808, 'Std': 67.24047839628018}","{'Mean': -202.37058243509304, 'Std': 90.13917058889649}","{'Mean': -232.30651278863726, 'Std': 108.18207740039936}","{'Mean': -188.41358152842395, 'Std': 57.94135304844453}"
"measuring CO,measuring O3 1,measuring O3 2,temperature,","{'Mean': -149.1556462193531, 'Std': 48.71316241477872}","{'Mean': -126.26570031346175, 'Std': 38.53357326049585}","{'Mean': -182.39740242277347, 'Std': 70.52503635748103}","{'Mean': -125.82239546793771, 'Std': 37.58039280858524}"
"measuring CO,measuring O3 1,measuring PM10,temperature,","{'Mean': -182.62839814318951, 'Std': 56.27630604339526}","{'Mean': -124.2397549558347, 'Std': 44.14581867415761}","{'Mean': -177.49194895658152, 'Std': 80.89318670137781}","{'Mean': -136.60615201722817, 'Std': 42.84369388669488}"
"measuring CO,measuring O3 2,measuring PM10,temperature,","{'Mean': -227.5518841864086, 'Std': 80.16407016121622}","{'Mean': -146.77565968595374, 'Std': 38.00988404672028}","{'Mean': -253.71593093559864, 'Std': 100.96239197759054}","{'Mean': -163.81259958083965, 'Std': 49.58958451959703}"
"measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': -209.1594753570827, 'Std': 117.02872439563768}","{'Mean': -205.50801697654757, 'Std': 93.68216677030142}","{'Mean': -211.4090329924692, 'Std': 98.2440738819125}","{'Mean': -182.55923955143226, 'Std': 58.873692621975685}"
"measuring NO2,measuring O3 1,measuring O3 2,temperature,","{'Mean': -177.7557498414197, 'Std': 54.336621440595295}","{'Mean': -179.17156301288924, 'Std': 61.96683038446425}","{'Mean': -158.98346183707068, 'Std': 58.73683407228614}","{'Mean': -146.2192712000473, 'Std': 44.180677158832125}"
