,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
NO2,"{'Mean': -6.1691763486322975, 'Std': 8.935088365574613}","{'Mean': -4.248828618847919, 'Std': 6.190632656391682}","{'Mean': -5.379677610965023, 'Std': 7.837946463302704}","{'Mean': -5.878569679317135, 'Std': 8.289783324912927}"
NO2 and temperature,"{'Mean': -3.165790364574454, 'Std': 4.227091596208864}","{'Mean': -4.275828423153649, 'Std': 5.996400931962356}","{'Mean': -2.5623544527222526, 'Std': 3.3044270520947605}","{'Mean': -3.6714921681357877, 'Std': 4.9320459119909446}"
