,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': -162.66982711760525, 'Std': 56.20214622262152}","{'Mean': -113.22853172082091, 'Std': 65.36910694931777}","{'Mean': -127.04157348610302, 'Std': 70.1753826642709}","{'Mean': -133.1088882881679, 'Std': 67.56610684411511}"
"measuring NO2,measuring O3 1,measuring O3 2,temperature,","{'Mean': -161.51894103956127, 'Std': 39.058949974061}","{'Mean': -117.7617896110329, 'Std': 57.68811863662809}","{'Mean': -138.5474458507746, 'Std': 67.55175832793466}","{'Mean': -141.5023640054127, 'Std': 59.529789701259396}"
"measuring NO2,measuring O3 1,measuring PM10,temperature,","{'Mean': -176.98116627211343, 'Std': 64.96122379407454}","{'Mean': -116.27979318490065, 'Std': 62.48189867621004}","{'Mean': -129.60341544784345, 'Std': 66.47626303880321}","{'Mean': -146.06014599652016, 'Std': 59.34317436925723}"
"measuring NO2,measuring O3 2,measuring PM10,temperature,","{'Mean': -159.50386802449023, 'Std': 42.97088740036017}","{'Mean': -117.50713071646862, 'Std': 60.53334978382741}","{'Mean': -128.43383002632854, 'Std': 68.03072884955107}","{'Mean': -144.3386043479738, 'Std': 57.55640287341171}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': -109.90365312475116, 'Std': 36.27047609704272}","{'Mean': -80.0745607339921, 'Std': 44.033130049938}","{'Mean': -96.11634957959825, 'Std': 56.94081043609764}","{'Mean': -95.56146239001606, 'Std': 53.823159943398046}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,temperature,","{'Mean': -115.34339143332927, 'Std': 38.23201248155112}","{'Mean': -84.74571308211551, 'Std': 40.83368368971766}","{'Mean': -93.79438637947146, 'Std': 53.08220485990191}","{'Mean': -107.77127714772733, 'Std': 55.315073428373786}"
"measuring CO,measuring NO2,measuring O3 1,measuring PM10,temperature,","{'Mean': -132.53174076833952, 'Std': 47.25763685199416}","{'Mean': -79.93502986668537, 'Std': 44.06894970993596}","{'Mean': -98.44799220651555, 'Std': 60.19464006195725}","{'Mean': -98.71567474944588, 'Std': 52.41266366931782}"
"measuring CO,measuring NO2,measuring O3 2,measuring PM10,temperature,","{'Mean': -134.82321865220334, 'Std': 36.759546375846405}","{'Mean': -80.85671000551936, 'Std': 44.30925060019306}","{'Mean': -95.71873419459979, 'Std': 45.30226940792549}","{'Mean': -98.84174898256838, 'Std': 41.38550243835845}"
"measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': -193.48840273446694, 'Std': 47.34739803455072}","{'Mean': -119.62637201424506, 'Std': 59.8279670881236}","{'Mean': -133.36064435169624, 'Std': 69.15938276530542}","{'Mean': -146.66902273064423, 'Std': 60.48450960627292}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': -125.61896161677593, 'Std': 32.7624364224505}","{'Mean': -83.87692063948961, 'Std': 41.74916017870425}","{'Mean': -95.1863870502047, 'Std': 54.91222176821584}","{'Mean': -96.88173630265425, 'Std': 45.74261667227797}"
