,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring CO,measuring NO2,measuring PM10,temperature,","{'Mean': -10.339047978546143, 'Std': 1.5354770639620607}","{'Mean': -8.483429417726782, 'Std': 2.469064969860738}","{'Mean': -9.527838601492528, 'Std': 2.206184765244114}","{'Mean': -9.43390926852233, 'Std': 2.022160976925194}"
"measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': -12.53805468080337, 'Std': 2.338164224084784}","{'Mean': -10.237398320405863, 'Std': 2.9024485094781887}","{'Mean': -10.879715825565144, 'Std': 2.945056373153212}","{'Mean': -11.196700713408596, 'Std': 2.782585384588107}"
"measuring NO2,measuring O3 1,measuring O3 2,temperature,","{'Mean': -12.617241207004625, 'Std': 1.5245213556476345}","{'Mean': -10.554585320438367, 'Std': 2.5224032835016374}","{'Mean': -11.438368139726455, 'Std': 2.7769011777276855}","{'Mean': -11.654367546380767, 'Std': 2.3828724471275176}"
"measuring NO2,measuring O3 1,measuring PM10,temperature,","{'Mean': -13.032373800792618, 'Std': 2.671778319495753}","{'Mean': -10.426882636440903, 'Std': 2.7495293544146504}","{'Mean': -11.0333947538196, 'Std': 2.804927031890418}","{'Mean': -11.841671490640865, 'Std': 2.4155666631793644}"
"measuring NO2,measuring O3 2,measuring PM10,temperature,","{'Mean': -12.5176966220438, 'Std': 1.6766452525693745}","{'Mean': -10.510318573057669, 'Std': 2.6533628114729457}","{'Mean': -10.971128272502105, 'Std': 2.8404532128928888}","{'Mean': -11.793043301107529, 'Std': 2.2940649611937034}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': -10.345131757477098, 'Std': 1.6976165777907513}","{'Mean': -8.640627422872305, 'Std': 2.326825836434528}","{'Mean': -9.409079070203747, 'Std': 2.7541932812081393}","{'Mean': -9.422480668633654, 'Std': 2.6035207775704774}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,temperature,","{'Mean': -10.601894979261667, 'Std': 1.7155798675769969}","{'Mean': -8.96218695553553, 'Std': 2.103548919360872}","{'Mean': -9.329853546366172, 'Std': 2.597733470321779}","{'Mean': -10.067545119564224, 'Std': 2.5329454027408316}"
"measuring CO,measuring NO2,measuring O3 1,measuring PM10,temperature,","{'Mean': -11.316706380944424, 'Std': 2.1127937561038017}","{'Mean': -8.630967927360144, 'Std': 2.3326856846917705}","{'Mean': -9.497484243062994, 'Std': 2.8715475373543238}","{'Mean': -9.614168167234684, 'Std': 2.506680115526739}"
"measuring CO,measuring NO2,measuring O3 2,measuring PM10,temperature,","{'Mean': -11.49509458455695, 'Std': 1.638907912084393}","{'Mean': -8.683976291024035, 'Std': 2.333509327697628}","{'Mean': -9.530331063172275, 'Std': 2.2116790049492767}","{'Mean': -9.741693096920384, 'Std': 1.985236657928244}"
"measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': -13.793623213483867, 'Std': 1.7956506839878184}","{'Mean': -10.625142512590637, 'Std': 2.5947482732211595}","{'Mean': -11.19190092929171, 'Std': 2.8464008748972005}","{'Mean': -11.874815772569479, 'Std': 2.378607386303875}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': -11.101169761265956, 'Std': 1.5436941239540516}","{'Mean': -8.89999989754075, 'Std': 2.1603061040658673}","{'Mean': -9.385230082547372, 'Std': 2.6653036126964107}","{'Mean': -9.592638208295794, 'Std': 2.205227540957608}"
