,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring CO,measuring NO2,measuring O3 2,temperature,","{'Mean': -0.05173787376614136, 'Std': 0.004295241867951098}","{'Mean': -0.04923881892022055, 'Std': 0.004626221367149884}","{'Mean': -0.05260359673848575, 'Std': 0.0033823968168246736}","{'Mean': -0.048259015145626936, 'Std': 0.002148902535371937}"
"measuring CO,measuring NO2,measuring PM10,temperature,","{'Mean': -0.0535238355077299, 'Std': 0.007449491471120659}","{'Mean': -0.05109411002141742, 'Std': 0.0043615138521920106}","{'Mean': -0.050231458050725535, 'Std': 0.0037146201601286895}","{'Mean': -0.048458847871014205, 'Std': 0.004392112119349869}"
"measuring CO,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': -0.04924793416246002, 'Std': 0.004734413509490823}","{'Mean': -0.049041215748269994, 'Std': 0.0031898351129044603}","{'Mean': -0.04900980806892988, 'Std': 0.003841784801658391}","{'Mean': -0.049227414905347044, 'Std': 0.005282639637252346}"
"measuring CO,measuring O3 1,measuring O3 2,temperature,","{'Mean': -0.05279736087958767, 'Std': 0.006362695349215324}","{'Mean': -0.04895324195906577, 'Std': 0.003583578151083935}","{'Mean': -0.04926693166865198, 'Std': 0.004059268972801305}","{'Mean': -0.057452996775943815, 'Std': 0.015034386706410954}"
"measuring CO,measuring O3 1,measuring PM10,temperature,","{'Mean': -0.05203357873580988, 'Std': 0.006027820109922504}","{'Mean': -0.050371444321813875, 'Std': 0.004771462963833644}","{'Mean': -0.048571862289989366, 'Std': 0.004628086563601352}","{'Mean': -0.05185466904322883, 'Std': 0.007596039047423399}"
"measuring CO,measuring O3 2,measuring PM10,temperature,","{'Mean': -0.05544085537539806, 'Std': 0.006727949188059329}","{'Mean': -0.049899332146078855, 'Std': 0.005048110750058657}","{'Mean': -0.05186579762932426, 'Std': 0.004375274902239249}","{'Mean': -0.04942994071925625, 'Std': 0.0034397091118533564}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': -0.05028019817509289, 'Std': 0.003381250196870459}","{'Mean': -0.049087902375873856, 'Std': 0.0030131152210376142}","{'Mean': -0.04911832482573742, 'Std': 0.0032483082839342104}","{'Mean': -0.0494712182351921, 'Std': 0.005676501645483751}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,temperature,","{'Mean': -0.055312183712513126, 'Std': 0.008078776420966584}","{'Mean': -0.04876415931192779, 'Std': 0.0035100877139728937}","{'Mean': -0.05014482513550494, 'Std': 0.0028145530285888813}","{'Mean': -0.058283265237110304, 'Std': 0.016178481179837022}"
"measuring CO,measuring NO2,measuring O3 1,measuring PM10,temperature,","{'Mean': -0.05795774604651661, 'Std': 0.010467826845487235}","{'Mean': -0.05040254799517065, 'Std': 0.004541975157608315}","{'Mean': -0.04880054809073709, 'Std': 0.0047889753789631595}","{'Mean': -0.0479788629894213, 'Std': 0.004551320397922627}"
"measuring CO,measuring NO2,measuring O3 2,measuring PM10,temperature,","{'Mean': -0.05629948076089585, 'Std': 0.007910696860529061}","{'Mean': -0.049687380352518296, 'Std': 0.004962401695035913}","{'Mean': -0.05111254692757605, 'Std': 0.00305644618232765}","{'Mean': -0.049171486457295244, 'Std': 0.0032564746081326624}"
"measuring CO,measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': -0.057414999275482305, 'Std': 0.007287799635716707}","{'Mean': -0.04953798959939767, 'Std': 0.00409167686889668}","{'Mean': -0.049186828274286644, 'Std': 0.004701437368626745}","{'Mean': -0.05731124715688565, 'Std': 0.013527790873930282}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': -0.05535142020569641, 'Std': 0.008301107975317372}","{'Mean': -0.0493104168029064, 'Std': 0.003945426930982176}","{'Mean': -0.049786243188050895, 'Std': 0.003663437590355976}","{'Mean': -0.06091210297163593, 'Std': 0.019716079418842344}"
