,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring NO2,measuring O3 2,temperature,","{'Mean': 1793.8380604189595, 'Std': 164.3953141016292}","{'Mean': 1866.376493431528, 'Std': 136.6117907483479}","{'Mean': 1808.1373221480383, 'Std': 139.28265872819765}","{'Mean': 1800.659053463274, 'Std': 135.28266421416174}"
"measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': 1883.2396473887338, 'Std': 160.45957762694303}","{'Mean': 1898.6576882664187, 'Std': 140.67460096340182}","{'Mean': 1879.6200352379963, 'Std': 160.5162103259883}","{'Mean': 1839.7576295442548, 'Std': 116.16012792399285}"
"measuring O3 1,measuring O3 2,temperature,","{'Mean': 1815.9797873602045, 'Std': 116.40413559248518}","{'Mean': 1872.3689670094234, 'Std': 119.77148028099337}","{'Mean': 1808.047525349657, 'Std': 149.19502865480956}","{'Mean': 1784.9602404521893, 'Std': 124.36628890519825}"
"measuring O3 1,measuring PM10,temperature,","{'Mean': 1791.4257204756577, 'Std': 70.30550952190248}","{'Mean': 1829.6330789457036, 'Std': 119.55499872146706}","{'Mean': 1808.361446033906, 'Std': 153.81842601239052}","{'Mean': 1772.2975986793997, 'Std': 112.6011175190977}"
"measuring O3 2,measuring PM10,temperature,","{'Mean': 1855.8252219617, 'Std': 121.7109511378774}","{'Mean': 1867.6030384396445, 'Std': 135.1891731165472}","{'Mean': 1816.9458729618125, 'Std': 135.335350312901}","{'Mean': 1788.8003907023692, 'Std': 117.06305219415398}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,","{'Mean': 1969.3423387350101, 'Std': 96.4858165575472}","{'Mean': 1909.4831615973383, 'Std': 156.5158377047953}","{'Mean': 1915.3883163490264, 'Std': 113.60773303417209}","{'Mean': 1881.3323462201176, 'Std': 100.78536259566111}"
"measuring CO,measuring NO2,measuring O3 1,measuring PM10,","{'Mean': 2331.139389001983, 'Std': 257.1735513288331}","{'Mean': 2134.982436712098, 'Std': 134.91391237686648}","{'Mean': 2085.8217882266154, 'Std': 159.69839495427775}","{'Mean': 2141.601678720246, 'Std': 89.94633713142541}"
"measuring CO,measuring NO2,measuring O3 1,temperature,","{'Mean': 1817.1543766573543, 'Std': 111.16690999448382}","{'Mean': 1754.4098948338305, 'Std': 116.61657175848863}","{'Mean': 1804.9533578521184, 'Std': 113.97114700215579}","{'Mean': 1751.5266872648463, 'Std': 115.92700774561405}"
"measuring CO,measuring NO2,measuring O3 2,measuring PM10,","{'Mean': 2023.484195123073, 'Std': 177.48790135797051}","{'Mean': 1931.4845767913146, 'Std': 132.44269458631433}","{'Mean': 2025.1366933138368, 'Std': 113.74204125706115}","{'Mean': 1981.602877693406, 'Std': 124.99256257081156}"
"measuring CO,measuring NO2,measuring O3 2,temperature,","{'Mean': 1947.6703275067905, 'Std': 223.89149943026342}","{'Mean': 1814.0663356544756, 'Std': 117.3167761747125}","{'Mean': 1929.208104153074, 'Std': 184.34841362525853}","{'Mean': 1852.3289658770352, 'Std': 161.69789121978653}"
"measuring CO,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': 1926.4402515897746, 'Std': 131.2426521578573}","{'Mean': 1896.0694360433165, 'Std': 151.6908657603638}","{'Mean': 1934.0532584764862, 'Std': 147.6026194366631}","{'Mean': 1849.8043934160353, 'Std': 100.97896984024769}"
"measuring CO,measuring O3 1,measuring O3 2,temperature,","{'Mean': 1864.2513317254513, 'Std': 192.3016509721008}","{'Mean': 1781.167290769866, 'Std': 103.30304073740524}","{'Mean': 1843.5047819680665, 'Std': 127.84003618109732}","{'Mean': 1771.8045441444847, 'Std': 100.5036072648514}"
"measuring CO,measuring O3 1,measuring PM10,temperature,","{'Mean': 1929.9290411399759, 'Std': 149.77308002922882}","{'Mean': 1749.8620424766543, 'Std': 115.18764270131993}","{'Mean': 1834.2643561232308, 'Std': 146.23441295194408}","{'Mean': 1751.1585018002345, 'Std': 108.36655294435623}"
"measuring CO,measuring O3 2,measuring PM10,temperature,","{'Mean': 2054.005211218324, 'Std': 209.39938178111024}","{'Mean': 1815.0081801022206, 'Std': 115.22954318501303}","{'Mean': 1967.7016795875834, 'Std': 176.75801916953546}","{'Mean': 1863.1648591855658, 'Std': 163.23609427638726}"
"measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': 1923.7922718014318, 'Std': 129.4422659576239}","{'Mean': 1901.7077692821088, 'Std': 144.62273083613562}","{'Mean': 1888.4469061435066, 'Std': 163.4152366540651}","{'Mean': 1838.8073591913942, 'Std': 115.83206025309671}"
"measuring NO2,measuring O3 1,measuring O3 2,temperature,","{'Mean': 1842.0118372078175, 'Std': 47.65426613600337}","{'Mean': 1876.4694888121876, 'Std': 121.65964956463134}","{'Mean': 1800.6036186765457, 'Std': 138.5511007935092}","{'Mean': 1787.5514866546043, 'Std': 130.03090551034583}"
"measuring NO2,measuring O3 1,measuring PM10,temperature,","{'Mean': 1857.2760567977475, 'Std': 73.4216031360168}","{'Mean': 1833.940887212417, 'Std': 122.2211802459683}","{'Mean': 1803.5222541445619, 'Std': 166.5289302488463}","{'Mean': 1775.241670484408, 'Std': 108.81836058330103}"
"measuring NO2,measuring O3 2,measuring PM10,temperature,","{'Mean': 1857.3696936269735, 'Std': 138.3216435439627}","{'Mean': 1871.9713858749367, 'Std': 137.48392874602538}","{'Mean': 1801.8780923275717, 'Std': 136.54856725655972}","{'Mean': 1795.633264764714, 'Std': 120.38442735859117}"
"measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': 1845.9467352713107, 'Std': 86.90466440358857}","{'Mean': 1873.5872616458182, 'Std': 125.44868371247787}","{'Mean': 1835.580198351161, 'Std': 145.56448704017765}","{'Mean': 1783.4515091734977, 'Std': 115.83748186100162}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': 2026.788666881687, 'Std': 92.28876368549012}","{'Mean': 1897.4965947039384, 'Std': 155.82338224013407}","{'Mean': 1915.3264178848867, 'Std': 150.85788915263316}","{'Mean': 1876.7813884518898, 'Std': 93.3940231645873}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,temperature,","{'Mean': 1904.6664811410071, 'Std': 183.4887782813898}","{'Mean': 1785.579930116827, 'Std': 105.52662574173664}","{'Mean': 1826.4176546103847, 'Std': 120.62522267496783}","{'Mean': 1776.5597253992935, 'Std': 107.17896317400546}"
"measuring CO,measuring NO2,measuring O3 1,measuring PM10,temperature,","{'Mean': 1990.9956705147106, 'Std': 116.34979034962045}","{'Mean': 1753.5388609128179, 'Std': 118.03444759747073}","{'Mean': 1825.103108094663, 'Std': 155.41702781009283}","{'Mean': 1748.797138469404, 'Std': 113.92535512194301}"
"measuring CO,measuring NO2,measuring O3 2,measuring PM10,temperature,","{'Mean': 2020.70727360815, 'Std': 224.60954753317807}","{'Mean': 1819.6566032564217, 'Std': 117.4475906347981}","{'Mean': 1923.2568604858945, 'Std': 137.4609019018708}","{'Mean': 1853.6399183266449, 'Std': 150.16307900099355}"
"measuring CO,measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': 1936.482322058246, 'Std': 134.6828783372163}","{'Mean': 1784.5267183411063, 'Std': 104.57860662019704}","{'Mean': 1839.1185325610613, 'Std': 136.07086664033733}","{'Mean': 1769.8106368055414, 'Std': 91.52646113587848}"
"measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': 1809.1664116266722, 'Std': 100.39753870015426}","{'Mean': 1878.0518380083058, 'Std': 127.63472541017727}","{'Mean': 1829.4886456879624, 'Std': 148.98423179838966}","{'Mean': 1786.2909386670738, 'Std': 109.53568784958433}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': 1934.732807679892, 'Std': 104.5168312296016}","{'Mean': 1789.225799040916, 'Std': 107.07350603541643}","{'Mean': 1834.8329618193673, 'Std': 140.4888974628463}","{'Mean': 1764.8625439548107, 'Std': 101.50913110986652}"
