,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring NO2,measuring O3 2,measuring PM10,","{'Mean': -7.797764656679503, 'Std': 1.5454531489641141}","{'Mean': -7.435057453948337, 'Std': 1.658658442689021}","{'Mean': -8.591156643356644, 'Std': 1.2991269320492984}","{'Mean': -7.4763726042584455, 'Std': 1.626012513722402}"
"measuring NO2,measuring O3 2,temperature,","{'Mean': -8.20700419678128, 'Std': 1.5220785761041773}","{'Mean': -7.671244193088026, 'Std': 1.5073655597881879}","{'Mean': -8.518906293706294, 'Std': 1.3858427172526464}","{'Mean': -7.718629179643942, 'Std': 1.453716999206962}"
"measuring NO2,measuring SO2 1,measuring SO2 2,","{'Mean': -8.078644201320921, 'Std': 1.1415747461111008}","{'Mean': -7.449795379011135, 'Std': 1.6620092212325026}","{'Mean': -9.113704895104895, 'Std': 1.7646018821485696}","{'Mean': -7.493714026235996, 'Std': 1.546814083904308}"
"measuring NO2,measuring SO2 1,measuring PM10,","{'Mean': -7.904314684794206, 'Std': 1.4016620622523566}","{'Mean': -7.2991387224571636, 'Std': 1.7638165859348278}","{'Mean': -8.300002797202797, 'Std': 1.3798851650691564}","{'Mean': -7.4359059026691785, 'Std': 1.8106690374172423}"
"measuring NO2,measuring SO2 1,temperature,","{'Mean': -8.0274242814736, 'Std': 1.2811510437587295}","{'Mean': -7.46449058400969, 'Std': 1.5761525134290648}","{'Mean': -8.86973986013986, 'Std': 0.7983438995711647}","{'Mean': -7.688880094461192, 'Std': 1.4877595153293564}"
"measuring NO2,measuring SO2 2,measuring PM10,","{'Mean': -8.030244664250592, 'Std': 1.9933036002057503}","{'Mean': -7.4930631919129045, 'Std': 1.7224957174633013}","{'Mean': -8.152194405594404, 'Std': 1.2862235837166551}","{'Mean': -7.587182297177138, 'Std': 1.64638168337034}"
"measuring NO2,measuring SO2 2,temperature,","{'Mean': -8.204779902162588, 'Std': 1.1551551618292213}","{'Mean': -7.723600542467899, 'Std': 1.4977396056026582}","{'Mean': -8.998373426573426, 'Std': 0.7510071855480995}","{'Mean': -7.835154731184342, 'Std': 1.403643770379076}"
"measuring NO2,measuring PM10,temperature,","{'Mean': -7.559881572357061, 'Std': 1.561758882845224}","{'Mean': -7.489140696584377, 'Std': 1.6294009512597718}","{'Mean': -8.355069930069929, 'Std': 1.2957822347155377}","{'Mean': -7.719768453944296, 'Std': 1.529846190940546}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,","{'Mean': -8.644790026183372, 'Std': 1.6572199157389038}","{'Mean': -7.9546367198830055, 'Std': 2.539391277183379}","{'Mean': -8.517786013986015, 'Std': 1.8845810601262063}","{'Mean': -7.25794162965168, 'Std': 1.7380404281939243}"
"measuring CO,measuring NO2,measuring O3 1,measuring SO2 1,","{'Mean': -8.231943655115415, 'Std': 1.8739834578641468}","{'Mean': -7.763968896930358, 'Std': 2.5857219627035843}","{'Mean': -8.986767832167832, 'Std': 2.973626689446437}","{'Mean': -7.246063013133107, 'Std': 1.7439456062783418}"
"measuring CO,measuring NO2,measuring O3 1,measuring SO2 2,","{'Mean': -7.9146840262047204, 'Std': 1.3640481911722167}","{'Mean': -8.064955396304718, 'Std': 2.757973260041072}","{'Mean': -8.330093706293706, 'Std': 1.5429840268224408}","{'Mean': -7.268480017688591, 'Std': 1.7263254762519233}"
"measuring CO,measuring NO2,measuring O3 1,measuring PM10,","{'Mean': -7.318055129839683, 'Std': 1.8145964036233067}","{'Mean': -7.812981213775094, 'Std': 2.6644157045218795}","{'Mean': -9.167841958041958, 'Std': 2.1369208342559984}","{'Mean': -7.255388180530909, 'Std': 1.7528079589016858}"
"measuring CO,measuring NO2,measuring O3 1,temperature,","{'Mean': -8.187532677051978, 'Std': 1.8951535533622057}","{'Mean': -7.924515711362853, 'Std': 2.6009339196619075}","{'Mean': -8.315903496503495, 'Std': 1.6277390012338304}","{'Mean': -7.285720444322218, 'Std': 1.7162110417486176}"
