,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
measuring | ,"{'Mean': -12.863662180878617, 'Std': 3.9453198100005116}","{'Mean': -12.837072202273356, 'Std': 3.9118573391238396}","{'Mean': -13.083033050994654, 'Std': 3.7848450399253473}","{'Mean': -14.003071955943781, 'Std': 3.7644639993862734}"
measuring | temperature | ,"{'Mean': -13.381538263827917, 'Std': 3.791451172975251}","{'Mean': -12.970798721899621, 'Std': 3.659622657185204}","{'Mean': -12.98515035596659, 'Std': 3.925309417018726}","{'Mean': -12.482978926202302, 'Std': 3.275465166192242}"
